NEUT   7.013453285536120e-16
PROT   6.847906423405289e-15
H   2  1.290120080774474e-16
HE  3  2.287329645065450e-26
HE  4  6.074756472917191e-02
BE  7  4.431948143741050e-22
B   8  1.000000000000000e-99
LI  7  2.650291825166170e-19
C  11  1.280297782398427e-17
B  11  2.855891408275870e-09
C  12  2.754634485623746e-01
C  13  4.069602465459138e-09
N  13  1.104259672199433e-09
N  14  3.353871417437722e-12
C  14  2.674080446188566e-06
N  15  3.319941975502113e-11
O  16  6.040986392016884e-01
O  17  8.615205312569383e-06
O  18  7.347310439617101e-08
F  17  2.248038808277215e-13
F  18  6.739161661880474e-12
F  19  4.231386734107439e-09
NE 20  2.989251182141174e-02
NE 21  5.053860307720192e-04
NE 22  3.736037797686615e-03
NA 22  6.832198265346595e-10
NA 23  1.789502455134210e-04
MG 23  2.505604828816815e-18
MG 24  1.576207700422436e-03
MG 25  7.018204869526271e-03
MG 26  1.316893054041363e-02
AL 26  4.014685713234072e-09
AL 27  1.123738054659946e-05
SI 27  1.892335598934081e-18
SI 28  5.447719651982691e-04
SI 29  9.994249197476400e-05
SI 30  3.505407412428200e-04
P  31  3.486359990571613e-07
S  31  1.984976916354227e-23
BE  8  1.000000000000000e-99
O  14  6.202740240555121e-19
O  15  5.040377955949134e-18
NA 21  1.464614643228246e-13
AL 25  8.300076580319058e-12
P  29  5.481353716020794e-15
P  30  1.010220132588184e-12
PB206  1.323547298174502e-08
PB207  1.536254142417572e-08
BI211  1.331393617633984e-12
PO210  1.961806871637277e-11
F  20  5.606430735369740e-10
NE 19  2.084444548193370e-20
NA 24  5.134134432484753e-05
MG 27  2.427649948134174e-04
MG 28  6.100169680751900e-05
AL 28  6.429626297188375e-06
AL 29  1.268957514019182e-05
SI 31  1.053993027647255e-04
SI 32  4.104981983490353e-05
P  32  4.028595541227158e-08
P  33  1.848513088539960e-06
P  34  4.249310512011798e-07
P  35  1.515903642906800e-07
S  32  1.421997341807251e-04
S  33  4.594351640947494e-06
S  34  5.394751989474354e-05
S  35  1.475502280615531e-06
S  36  6.010740897131745e-06
S  37  1.418447409670144e-07
S  38  1.774501263695579e-08
CL 34  1.277798231540584e-17
CL 35  1.008727994153266e-07
CL 36  8.051967031387485e-09
CL 37  3.778320740091707e-05
CL 38  6.526062137007641e-06
CL 39  1.283274330786288e-05
CL 40  2.692409646514044e-06
AR 35  1.000000000000000e-99
AR 36  7.797092571122808e-06
AR 37  7.033974917834273e-08
AR 38  3.683554575762434e-05
AR 39  1.108253869371803e-05
AR 40  1.533795826860022e-05
AR 41  5.684712515220694e-06
AR 42  3.603905764845670e-06
AR 43  5.803991885705143e-07
AR 44  1.924648557366390e-07
K  38  1.685773442046224e-18
K  39  2.194947360632322e-07
K  40  4.172238560511434e-08
K  41  1.910819421791833e-07
K  42  8.502483499877708e-08
K  43  4.751026392199223e-07
K  44  2.633775936396945e-07
K  45  1.368476053818039e-06
K  46  4.907974927733659e-07
CA 39  1.000000000000000e-99
CA 40  1.443731171051068e-05
CA 41  2.283604174627899e-07
CA 42  6.099729793878921e-07
CA 43  2.153478823434074e-07
CA 44  1.545328816609043e-06
CA 45  9.085062281818200e-07
CA 46  2.223852288302572e-06
CA 47  1.461011781662671e-06
CA 48  9.844699690343850e-07
CA 49  1.011249912947820e-07
SC 43  5.291481178648484e-17
SC 44  1.463228312028542e-17
SC 45  5.589944311506443e-11
SC 46  6.154900293125949e-11
SC 47  3.900274464237686e-10
SC 48  3.854107883390594e-09
SC 49  1.927266539698506e-08
SC 50  1.903054413408046e-08
TI 44  5.102616002250315e-19
TI 45  1.215263402090015e-20
TI 46  3.110699519596351e-09
TI 47  2.359226678695770e-09
TI 48  2.498609458706417e-08
TI 49  9.361738861109286e-08
TI 50  1.979145486760754e-06
TI 51  1.094640554915919e-06
TI 52  7.907930941436488e-07
V  47  9.301476555612214e-21
V  48  2.240792657543498e-20
V  49  4.212470299771689e-18
V  50  3.627207331868755e-13
V  51  3.903027493002867e-09
V  52  2.140980812697471e-08
V  53  3.541151447432328e-07
CR 48  1.000000000000000e-99
CR 49  1.000000000000000e-99
CR 50  1.969761207596667e-09
CR 51  1.013517435965274e-09
CR 52  2.050334247831406e-06
CR 53  3.912716224699905e-07
CR 54  5.847624080417596e-06
CR 55  3.493439968682952e-06
CR 56  6.029515184122850e-06
MN 51  5.602223414815361e-22
MN 52  2.920205258149284e-21
MN 53  3.886431590394157e-17
MN 54  4.448097791764551e-17
MN 55  2.209210157428032e-07
MN 56  3.072885689017987e-07
MN 57  5.142926353486345e-06
FE 52  1.000000000000000e-99
FE 53  1.000000000000000e-99
FE 54  4.409662547895760e-07
FE 55  1.974126207882087e-07
FE 56  9.967526159294915e-05
FE 57  3.484387405945417e-05
FE 58  2.032036998113564e-04
FE 59  1.508173292692197e-04
FE 60  5.523770313306577e-04
FE 61  2.045639135884151e-04
CO 55  3.303080898860812e-20
CO 56  1.749819929807704e-20
CO 57  2.394405202276240e-16
CO 58  1.557110753413602e-15
CO 59  7.771267926179287e-08
CO 60  4.836166987864243e-08
CO 61  2.839408488896894e-07
CO 62  3.281234125770331e-05
CO 63  1.085665428981552e-04
NI 56  1.000000000000000e-99
NI 57  1.000000000000000e-99
NI 58  2.964022820880695e-07
NI 59  1.256267030424227e-07
NI 60  8.325215021056175e-07
NI 61  3.997415771839178e-07
NI 62  2.927616575837898e-06
NI 63  1.282537949129875e-06
NI 64  1.233753637904517e-04
NI 65  3.730670446826837e-05
NI 66  9.021769030937913e-06
NI 67  3.303035692895348e-10
