NEUT   1.100614646779319e-21
PROT   7.315979466970124e-18
H   2  1.000000000000000e-99
HE  3  5.239678256693312e-20
HE  4  2.565372816330294e-12
BE  7  1.000000000000000e-99
B   8  1.000000000000000e-99
LI  7  1.000000000000000e-99
C  11  5.368279325900537e-12
B  11  2.855891452064842e-09
C  12  3.776830085465714e-02
C  13  2.402330485186741e-09
N  13  1.752742288564930e-14
N  14  2.024335211539468e-05
C  14  2.337637397631709e-06
N  15  4.515999585908885e-08
O  16  6.619190459376231e-01
O  17  2.610653692363044e-06
O  18  2.317687902311305e-07
F  17  1.180203086048977e-19
F  18  7.609824762125650e-10
F  19  8.315414381345495e-08
NE 20  2.385915172905880e-01
NE 21  1.068825659572554e-03
NE 22  3.973957806775359e-04
NA 22  1.855971442850578e-07
NA 23  9.616885562832227e-03
MG 23  2.568922419261914e-12
MG 24  2.133223246522411e-02
MG 25  9.115553356899980e-03
MG 26  1.130104725366463e-02
AL 26  3.085957305901614e-09
AL 27  3.385664264562004e-03
SI 27  1.040799027011951e-14
SI 28  1.844975296382732e-03
SI 29  6.702693087617200e-04
SI 30  4.121487529311565e-04
P  31  1.260750070342493e-04
S  31  1.020563202247805e-20
BE  8  1.000000000000000e-99
O  14  3.299457451837298e-22
O  15  2.233012333319538e-13
NA 21  4.879100411230608e-12
AL 25  1.225209113119636e-12
P  29  2.394553587786070e-14
P  30  2.862182645246577e-11
PB206  1.115599799767704e-08
PB207  1.482283950922502e-08
BI211  4.101543750337843e-21
PO210  4.388133797459600e-12
F  20  6.884621246693874e-11
NE 19  2.144089684237431e-19
NA 24  4.029268292129716e-05
MG 27  6.625999406015433e-05
MG 28  1.457542967103325e-06
AL 28  1.545878063576875e-04
AL 29  4.832211022626314e-06
SI 31  3.647407214503000e-05
SI 32  1.517378261674796e-05
P  32  1.656996315981466e-05
P  33  5.484434194010471e-06
P  34  3.006919885902715e-07
P  35  5.020846590164065e-08
S  32  1.444495406170127e-04
S  33  6.697133544921247e-06
S  34  4.465332690063912e-05
S  35  1.562633300485806e-06
S  36  6.090133435236537e-06
S  37  2.647818776900345e-10
S  38  8.269713614233441e-09
CL 34  2.302700344683914e-16
CL 35  2.742016790144089e-06
CL 36  1.123232926149291e-07
CL 37  4.274815220264624e-05
CL 38  7.080315669529273e-06
CL 39  1.174687209464569e-05
CL 40  2.433708788405089e-06
AR 35  1.992085404011550e-26
AR 36  5.240980348639083e-06
AR 37  6.334828821003687e-09
AR 38  4.085646980325341e-05
AR 39  1.370901329705380e-05
AR 40  1.598794495560190e-05
AR 41  5.606027997773483e-06
AR 42  2.853784425048137e-06
AR 43  4.623656258389527e-07
AR 44  1.391701021413226e-07
K  38  8.636064031681526e-19
K  39  2.142061227754909e-06
K  40  2.945337875303535e-07
K  41  1.332177292736200e-06
K  42  5.881974307263869e-07
K  43  7.249199984622699e-07
K  44  3.234308961843406e-07
K  45  1.436691916152064e-06
K  46  5.115276205397676e-07
CA 39  1.000000000000000e-99
CA 40  1.130746510627064e-05
CA 41  2.424063085270890e-07
CA 42  6.035600623559983e-07
CA 43  2.538119452328960e-07
CA 44  1.616133253563929e-06
CA 45  1.037713351747063e-06
CA 46  2.360647024743628e-06
CA 47  1.477036486771661e-06
CA 48  9.231899585910693e-07
CA 49  8.109125980700632e-08
SC 43  2.651938511873659e-13
SC 44  2.097235318891263e-13
SC 45  2.629772417685814e-08
SC 46  1.193688391953753e-08
SC 47  5.266790893551657e-08
SC 48  3.639312958394171e-08
SC 49  3.465045197718523e-08
SC 50  1.772948083173596e-08
TI 44  4.856776955624103e-13
TI 45  1.811878861420096e-17
TI 46  5.047709412072957e-10
TI 47  5.213751784610200e-10
TI 48  2.403522299372068e-09
TI 49  2.557729005526297e-08
TI 50  2.061495599710107e-06
TI 51  1.126882360709581e-06
TI 52  7.551388464349268e-07
V  47  1.913245244251140e-18
V  48  6.126360168395195e-17
V  49  1.024475297758055e-11
V  50  5.709099903261074e-11
V  51  9.928692102391244e-09
V  52  2.297653247553826e-08
V  53  3.292102593835151e-07
CR 48  1.422743075868044e-24
CR 49  2.291136617812538e-25
CR 50  1.760286518604839e-12
CR 51  1.976000153689929e-13
CR 52  1.517523190340342e-06
CR 53  4.716716034808769e-07
CR 54  5.539660341086483e-06
CR 55  3.996963795361718e-06
CR 56  6.325778130941806e-06
MN 51  2.378024147689997e-21
MN 52  2.036847664445163e-20
MN 53  7.121127352138357e-10
MN 54  4.144289074491875e-10
MN 55  3.821223261592945e-08
MN 56  7.157039046075293e-08
MN 57  3.870129428152784e-06
FE 52  1.000000000000000e-99
FE 53  1.000000000000000e-99
FE 54  7.887476625045457e-09
FE 55  2.971778866491389e-09
FE 56  6.771346940504884e-05
FE 57  2.889054038225366e-05
FE 58  1.664529728273919e-04
FE 59  1.648263657150260e-04
FE 60  6.076609884376655e-04
FE 61  2.281101525771490e-04
CO 55  1.401220235201759e-16
CO 56  2.031606403280736e-16
CO 57  6.260289850228658e-09
CO 58  3.140542612947057e-09
CO 59  2.438583190137401e-07
CO 60  3.311029380608249e-07
CO 61  5.994390972155190e-07
CO 62  3.661809466759550e-05
CO 63  1.103168288468075e-04
NI 56  1.916863650001785e-22
NI 57  2.725443967061252e-24
NI 58  6.156110954504323e-09
NI 59  2.571302695991613e-09
NI 60  9.335825800905270e-08
NI 61  5.710203753911833e-08
NI 62  1.130958817908169e-06
NI 63  7.255422331817810e-07
NI 64  1.104532985896889e-04
NI 65  4.191409101231522e-05
NI 66  1.658883687465835e-09
NI 67  1.435679364920710e-18
