H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod      526 dzeit  1.03E-10 agej  4.8518E-04
 # t9 =    9.913E+00 rho =    1.005E+10
 # densn  1.10065E+32
 # densp  2.96466E+29
 # densa  1.91531E+31
 # total_energy_flux_[erg/(g*s)]  0.00000E+00
  140    24.  49.   1   3.61420E-11  CR 49
  141    24.  50.   1   1.21472E-08  CR 50
  142    24.  51.   1   8.75417E-07  CR 51
  143    24.  52.   1   5.95143E-05  CR 52
  144    24.  53.   1   7.91997E-04  CR 53
  145    24.  54.   1   6.96633E-03  CR 54
  146    24.  55.   1   1.58939E-02  CR 55
  147    24.  56.   1   1.91082E-02  CR 56
  148    25.  51.   1   3.16617E-11  MN 51
  149    25.  52.   1   5.56306E-09  MN 52
  150    25.  53.   1   8.50186E-07  MN 53
  151    25.  54.   1   2.83629E-05  MN 54
  152    25.  55.   1   6.17263E-04  MN 55
  153    25.  56.   1   3.04614E-03  MN 56
  154    25.  57.   1   1.11297E-02  MN 57
  155    26.  52.   1   3.59572E-14  FE 52
  156    26.  53.   1   1.85113E-11  FE 53
  157    26.  54.   1   6.85349E-09  FE 54
  158    26.  55.   1   4.84614E-07  FE 55
  159    26.  56.   1   2.52518E-05  FE 56
  160    26.  57.   1   3.30192E-04  FE 57
  161    26.  58.   1   2.97803E-03  FE 58
  162    26.  59.   1   9.99919E-03  FE 59
  163    26.  60.   1   2.05162E-02  FE 60
  164    26.  61.   1   2.36994E-02  FE 61
  165    27.  55.   1   1.00805E-11  CO 55
  166    27.  56.   1   1.73166E-09  CO 56
  167    27.  57.   1   1.58992E-07  CO 57
  168    27.  58.   1   4.50025E-06  CO 58
  169    27.  59.   1   1.03027E-04  CO 59
  170    27.  60.   1   7.62588E-04  CO 60
  171    27.  61.   1   4.70591E-03  CO 61
  172    27.  62.   1   1.12182E-02  CO 62
  173    27.  63.   1   2.86905E-02  CO 63
  174    28.  56.   1   6.55469E-15  NI 56
  175    28.  57.   1   2.60067E-12  NI 57
  176    28.  58.   1   5.43172E-10  NI 58
  177    28.  59.   1   3.65103E-08  NI 59
  178    28.  60.   1   1.47011E-06  NI 60
  179    28.  61.   1   3.46546E-05  NI 61
  180    28.  62.   1   3.97236E-04  NI 62
  181    28.  63.   1   2.76193E-03  NI 63
  182    28.  64.   1   9.72749E-03  NI 64
  183    28.  65.   1   2.95972E-02  NI 65
  184    28.  66.   1   4.27081E-02  NI 66
  185    28.  67.   1   4.28319E-02  NI 67
  186    28.  68.   1   2.99488E-02  NI 68
  187    29.  60.   1   3.33381E-11  CU 60
  188    29.  61.   1   3.85436E-09  CU 61
  189    29.  62.   1   1.48114E-07  CU 62
  190    29.  63.   1   5.00707E-06  CU 63
  191    29.  64.   1   5.76546E-05  CU 64
  192    29.  65.   1   6.46940E-04  CU 65
  193    29.  66.   1   2.80772E-03  CU 66
  194    29.  67.   1   1.31235E-02  CU 67
  195    29.  68.   1   2.38549E-02  CU 68
  196    29.  69.   1   3.17357E-02  CU 69
  197    29.  70.   1   2.91037E-02  CU 70
  198    29.  71.   1   2.23512E-02  CU 71
  199    30.  62.   1   3.06134E-12  ZN 62
  200    30.  63.   1   3.26645E-10  ZN 63
  201    30.  64.   1   1.67666E-08  ZN 64
  202    30.  65.   1   5.46211E-07  ZN 65
  203    30.  66.   1   8.86388E-06  ZN 66
  204    30.  67.   1   1.08405E-04  ZN 67
  205    30.  68.   1   5.72411E-04  ZN 68
  206    30.  69.   1   3.20923E-03  ZN 69
  207    30.  70.   1   6.74073E-03  ZN 70
  208    30.  71.   1   1.39985E-02  ZN 71
  209    30.  72.   1   1.62654E-02  ZN 72
  210    30.  73.   1   2.29050E-02  ZN 73
  211    30.  74.   1   9.76186E-03  ZN 74
  212    31.  65.   1   1.82555E-11  GA 65
  213    31.  66.   1   7.72094E-10  GA 66
  214    31.  67.   1   4.68080E-08  GA 67
  215    31.  68.   1   7.02954E-07  GA 68
  216    31.  69.   1   1.47506E-05  GA 69
  217    31.  70.   1   8.44782E-05  GA 70
  218    31.  71.   1   6.29673E-04  GA 71
  219    31.  72.   1   1.84999E-03  GA 72
  220    31.  73.   1   6.51071E-03  GA 73
  221    31.  74.   1   1.01360E-02  GA 74
  222    31.  75.   1   1.98343E-02  GA 75
  223    32.  66.   1   6.33597E-15  GE 66
  224    32.  67.   1   1.03298E-12  GE 67
  225    32.  68.   1   6.43685E-11  GE 68
  226    32.  69.   1   3.60513E-09  GE 69
  227    32.  70.   1   8.28926E-08  GE 70
  228    32.  71.   1   1.79595E-06  GE 71
  229    32.  72.   1   1.66442E-05  GE 72
  230    32.  73.   1   1.50422E-04  GE 73
  231    32.  74.   1   7.64516E-04  GE 74
  232    32.  75.   1   3.44559E-03  GE 75
  233    32.  76.   1   7.62442E-03  GE 76
  234    32.  77.   1   1.68905E-02  GE 77
  235    32.  78.   1   2.03212E-02  GE 78
  236    33.  69.   1   3.96509E-14  AS 69
  237    33.  70.   1   3.07095E-12  AS 70
  238    33.  71.   1   2.40890E-10  AS 71
  239    33.  72.   1   5.20880E-09  AS 72
  240    33.  73.   1   1.87735E-07  AS 73
  241    33.  74.   1   2.03204E-06  AS 74
  242    33.  75.   1   3.12498E-05  AS 75
  243    33.  76.   1   1.85995E-04  AS 76
  244    33.  77.   1   1.10911E-03  AS 77
  245    33.  78.   1   2.91015E-03  AS 78
  246    33.  79.   1   9.78562E-03  AS 79
  247    33.  80.   1   1.63760E-02  AS 80
  248    33.  81.   1   2.69555E-02  AS 81
  249    34.  72.   1   2.69398E-13  SE 72
  250    34.  73.   1   2.09882E-11  SE 73
  251    34.  74.   1   7.67560E-10  SE 74
  252    34.  75.   1   2.73620E-08  SE 75
  253    34.  76.   1   4.60733E-07  SE 76
  254    34.  77.   1   7.07285E-06  SE 77
  255    34.  78.   1   4.77820E-05  SE 78
  256    34.  79.   1   4.12962E-04  SE 79
  257    34.  80.   1   1.51887E-03  SE 80
  258    34.  81.   1   6.75365E-03  SE 81
  259    34.  82.   1   1.39997E-02  SE 82
  260    34.  83.   1   2.73437E-02  SE 83
  261    34.  84.   1   2.13421E-02  SE 84
  262    35.  74.   1   1.20848E-14  BR 74
  263    35.  75.   1   1.80489E-12  BR 75
  264    35.  76.   1   6.71206E-11  BR 76
  265    35.  77.   1   3.53824E-09  BR 77
  266    35.  78.   1   5.64719E-08  BR 78
  267    35.  79.   1   1.36075E-06  BR 79
  268    35.  80.   1   1.17746E-05  BR 80
  269    35.  81.   1   1.25950E-04  BR 81
  270    35.  82.   1   6.42019E-04  BR 82
  271    35.  83.   1   3.78355E-03  BR 83
  272    35.  84.   1   1.03875E-02  BR 84
  273    35.  85.   1   2.15481E-02  BR 85
  274    35.  86.   1   1.27237E-02  BR 86
  275    35.  87.   1   3.53927E-03  BR 87
  276    36.  76.   1   1.42523E-15  KR 76
  277    36.  77.   1   1.90148E-13  KR 77
  278    36.  78.   1   9.97965E-12  KR 78
  279    36.  79.   1   4.74821E-10  KR 79
  280    36.  80.   1   1.09303E-08  KR 80
