Z	A	Sym	5	10	15	20	25	30	40	50	60	80	100(keV); cross sections in mb
25	55	Mn	1.000	1.000	1.000	0.998	0.994	0.987	0.968	0.945	0.924	0.892	0.873	
26	54	Fe	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.998	0.994	
26	55	Fe	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.998	0.994	
26	56	Fe	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
26	57	Fe	0.982	0.979	1.009	1.045	1.079	1.109	1.154	1.188	1.214	1.254	1.285	
26	58	Fe	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.999	
27	59	Co	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
28	58	Ni	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
28	59	Ni	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.999	0.998	0.991	0.979	
28	60	Ni	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
28	61	Ni	1.000	0.998	0.988	0.969	0.949	0.932	0.909	0.899	0.898	0.907	0.922	
28	62	Ni	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
28	63	Ni	1.000	1.000	1.000	0.997	0.991	0.983	0.964	0.950	0.944	0.950	0.970	
28	64	Ni	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
29	63	Cu	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
29	65	Cu	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
30	64	Zn	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
30	65	Zn	1.000	1.000	0.997	0.990	0.981	0.969	0.941	0.912	0.884	0.836	0.798	
30	66	Zn	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
30	67	Zn	1.000	1.000	1.000	0.999	0.998	0.995	0.985	0.970	0.954	0.918	0.885	
30	68	Zn	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
30	70	Zn	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
31	69	Ga	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.998	0.994	0.986	
31	71	Ga	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.999	0.995	0.986	
32	70	Ge	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
32	72	Ge	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
32	73	Ge	1.020	1.032	1.028	1.017	1.002	0.987	0.960	0.939	0.922	0.894	0.869	
32	74	Ge	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.999	0.995	
32	76	Ge	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.999	
33	75	As	1.000	1.000	1.000	1.000	1.000	0.999	0.997	0.990	0.978	0.941	0.894	
34	74	Se	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.999	
34	76	Se	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.002	1.007	
34	77	Se	1.000	1.000	1.000	1.000	1.000	0.999	0.991	0.968	0.937	0.874	0.828	
34	78	Se	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.002	
34	79	Se	1.000	1.000	1.000	0.999	0.996	0.991	0.974	0.952	0.930	0.893	0.864	
34	80	Se	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.003	
34	82	Se	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.999	
35	79	Br	1.000	1.000	1.000	1.000	1.000	1.000	0.998	0.993	0.984	0.957	0.929	
35	81	Br	1.000	1.000	1.000	1.000	1.000	1.000	0.999	0.997	0.993	0.981	0.964	
36	78	Kr	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.004	1.013	
36	79	Kr	1.000	1.000	1.000	1.003	1.007	1.009	1.003	0.983	0.961	0.926	0.904	
36	80	Kr	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.003	
36	81	Kr	1.000	1.000	0.994	0.984	0.973	0.963	0.949	0.940	0.936	0.934	0.935	
36	82	Kr	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	
36	83	Kr	0.994	0.985	0.978	0.976	0.976	0.977	0.981	0.984	0.986	0.988	0.987	
36	84	Kr	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
36	85	Kr	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
36	86	Kr	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
37	85	Rb	1.000	1.000	1.000	1.000	0.999	0.997	0.991	0.981	0.969	0.942	0.918	
37	86	Rb	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.999	0.997	
37	87	Rb	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.998	0.996	
38	84	Sr	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	
38	86	Sr	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
38	87	Sr	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
38	88	Sr	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
38	89	Sr	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
39	89	Y	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	
40	90	Zr	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
40	91	Zr	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
40	92	Zr	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
40	93	Zr	1.000	1.000	1.000	1.000	1.000	1.000	0.999	0.998	0.995	0.985	0.973	
40	94	Zr	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
40	95	Zr	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
40	96	Zr	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
41	93	Nb	1.000	0.997	0.993	0.990	0.987	0.985	0.982	0.979	0.978	0.976	0.974	
41	94	Nb	1.000	1.005	1.006	0.995	0.975	0.951	0.904	0.864	0.833	0.787	0.753	
41	95	Nb	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.999	0.999	0.972	
42	100	Mo	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.003	
42	92	Mo	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
42	94	Mo	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	
42	95	Mo	1.000	1.000	1.000	1.000	1.000	0.999	0.996	0.989	0.980	0.957	0.936	
42	96	Mo	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	
42	97	Mo	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.999	0.995	
42	98	Mo	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	
42	99	Mo	1.000	1.000	1.000	1.000	1.002	1.008	1.027	1.050	1.072	1.109	1.137	
43	99	Tc	1.000	1.000	1.000	1.000	0.999	0.998	0.989	0.975	0.957	0.923	0.891	
44	100	Ru	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.002	1.008	
44	101	Ru	1.000	1.000	1.000	0.999	0.997	0.994	0.983	0.967	0.950	0.909	0.866	
44	102	Ru	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.004	1.012	
44	103	Ru	1.132	1.138	1.155	1.171	1.184	1.194	1.202	1.199	1.189	1.164	1.142	
44	104	Ru	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.002	1.010	1.023	
44	96	Ru	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	
44	98	Ru	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.004	
44	99	Ru	1.000	1.000	0.999	0.996	0.991	0.983	0.965	0.947	0.929	0.899	0.871	
45	103	Rh	1.001	1.049	1.126	1.171	1.188	1.188	1.172	1.150	1.132	1.106	1.090	
46	102	Pd	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.002	1.010	
46	104	Pd	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.004	1.013	
46	105	Pd	1.000	1.000	1.000	1.000	1.000	1.000	0.999	0.997	0.990	0.963	0.923	
46	106	Pd	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.004	1.012	
46	107	Pd	1.000	1.000	1.000	1.000	0.999	0.997	0.992	0.985	0.975	0.947	0.912	
46	108	Pd	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.007	1.020	
46	110	Pd	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.002	1.011	1.028	
47	107	Ag	1.000	1.000	1.004	1.019	1.044	1.070	1.111	1.131	1.139	1.142	1.142	
47	109	Ag	1.000	1.001	1.015	1.050	1.091	1.126	1.168	1.182	1.182	1.164	1.139	
47	110	Ag	0.762	1.016	1.072	1.097	1.114	1.127	1.146	1.155	1.156	1.141	1.114	
48	106	Cd	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.005	
48	108	Cd	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
48	110	Cd	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.006	
48	111	Cd	1.000	1.000	1.000	1.000	1.000	1.002	1.011	1.028	1.043	1.056	1.052	
48	112	Cd	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.002	1.008	
48	113	Cd	1.000	1.000	1.000	1.000	1.000	1.001	1.006	1.020	1.043	1.091	1.117	
48	114	Cd	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.003	1.012	
48	115	Cd	1.000	1.000	1.000	1.001	1.003	1.010	1.041	1.084	1.124	1.161	1.147	
48	115	Cd	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
48	116	Cd	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.003	1.011	
49	113	In	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
49	114	In	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
49	115	In	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
50	112	Sn	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
50	114	Sn	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
50	115	Sn	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.003	1.013	
50	116	Sn	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
50	117	Sn	1.000	1.000	1.000	1.000	0.999	0.999	0.998	0.998	1.002	1.036	1.096	
50	118	Sn	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
50	119	Sn	1.007	1.026	1.048	1.087	1.143	1.206	1.336	1.450	1.544	1.684	1.776	
50	120	Sn	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
50	121	Sn	1.039	1.084	1.094	1.096	1.098	1.099	1.103	1.108	1.115	1.128	1.142	
50	122	Sn	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
50	124	Sn	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
50	125	Sn	0.999	0.990	0.985	0.983	0.983	0.983	0.984	0.984	0.983	0.977	0.969	
50	126	Sn	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
51	121	Sb	0.999	0.991	0.982	0.978	0.978	0.980	0.988	0.997	1.007	1.026	1.042	
51	122	Sb	1.028	1.046	1.054	1.054	1.052	1.047	1.036	1.026	1.018	1.003	0.989	
51	123	Sb	1.000	1.000	1.000	1.000	0.999	0.998	0.993	0.986	0.978	0.961	0.946	
51	125	Sb	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.999	0.995	0.988	
52	120	Te	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.003	1.010	
52	122	Te	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.007	
52	123	Te	1.000	1.000	1.000	1.000	1.001	1.003	1.014	1.038	1.074	1.157	1.227	
52	124	Te	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.006	
52	125	Te	0.999	0.997	1.010	1.033	1.064	1.102	1.194	1.292	1.381	1.517	1.598	
52	126	Te	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.003	
52	128	Te	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.002	
52	130	Te	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	
53	127	I	1.000	0.999	0.996	0.991	0.988	0.986	0.985	0.988	0.993	1.001	1.007	
53	129	I	0.998	0.983	0.963	0.947	0.936	0.927	0.916	0.909	0.903	0.891	0.878	
54	124	Xe	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.003	1.008	1.030	1.065	
54	126	Xe	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.004	1.019	1.045	
54	128	Xe	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.003	1.014	1.035	
54	129	Xe	1.000	1.008	1.032	1.056	1.079	1.100	1.144	1.194	1.247	1.343	1.407	
54	130	Xe	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.004	1.012	
54	131	Xe	1.000	1.000	0.999	0.996	0.991	0.989	1.000	1.025	1.049	1.070	1.070	
54	132	Xe	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.001	1.004	
