# Magill, J., Pfennig, G. and Galy, J. 2006
# names            Z        A    half-life    unit    Q (Mev)
  PT175    OS171   78      175    2.52d-00    secs    -
  PT176    OS172   78      176    6.33d-00    secs    -
  PT177    OS173   78      177    1.00d+31    year    -
  PT178    OS174   78      178    1.00d+31    year    -
  PT179    OS175   78      179    1.00d+31    year    -
  PT180    OS176   78      180    1.00d+31    year    -
  PT181    OS177   78      181    1.00d+31    year    -
  PT182    OS178   78      182    1.00d+31    year    -
  PT183    OS179   78      183    1.00d+31    year    -
  PT184    OS180   78      184    1.00d+31    year    -
  PT185    OS181   78      185    1.00d+31    year    -
  PT186    OS182   78      186    1.00d+31    year    -
  AU170    IR166   79      170    1.00d+31    year    -
  AU171    IR167   79      171    1.00d+31    year    -
  AU172    IR168   79      172    4.00d+00    msec    -
  AU173    IR169   79      173    2.50d+01    msec    -
  AU174    IR170   79      174    1.39d+02    msec    -
  AU175    IR171   79      175    1.00d-01    secs    -
  AU176    IR172   79      176    1.08d+00    secs    -
  AU177    IR173   79      177    1.18d+00    secs    -
  AU178    IR174   79      178    2.60d+00    secs    -
  AU179    IR175   79      179    7.10d+00    secs    -
  AU180    IR176   79      180    1.00d+31    year    -
  AU181    IR177   79      181    1.00d+31    year    -
  AU182    IR178   79      182    1.00d+31    year    -
  AU183    IR179   79      183    1.00d+31    year    -
  AU184    IR180   79      184    1.00d+31    year    -
  AU185    IR181   79      185    1.00d+31    year    -
  AU186    IR182   79      186    1.00d+31    year    -
  AU187    IR183   79      187    1.00d+31    year    -
  HG171    PT167   80      171    6.00d+01    muse    -
  HG172    PT168   80      172    3.00d-01    msec    -
  HG173    PT169   80      173    1.10d-00    msec    -
  HG174    PT170   80      174    2.10d-00    msec    -
  HG175    PT171   80      175    1.30d+01    msec    -
  HG176    PT172   80      176    2.10d+01    msec    -
  HG177    PT173   80      177    1.70d-01    secs    -
  HG178    PT174   80      178    2.60d-01    secs    -
  HG179    PT175   80      179    1.09d-00    secs    -
  HG180    PT176   80      180    1.00d+31    year    -
  HG181    PT177   80      181    1.00d+31    year    -
  HG182    PT178   80      182    1.00d+31    year    -
  HG183    PT179   80      183    1.00d+31    year    -
  HG184    PT180   80      184    1.00d+31    year    -
  HG185    PT181   80      185    1.00d+31    year    -
  HG186    PT182   80      186    1.00d+31    year    -
  HG187    PT183   80      187    1.00d+31    year    -
  HG188    PT184   80      188    1.00d+31    year    -
  TL177    AU173   81      177    1.00d+31    year    -
  TL178    AU174   81      178    2.55d+02    msec    -
  TL179    AU175   81      179    2.70d-01    secs    -
  TL180    AU176   81      180    1.50d+00    secs    -
  TL181    AU177   81      181    3.20d+00    secs    -
  TL182    AU178   81      182    1.00d+31    year    -
  TL183    AU179   81      183    1.00d+31    year    -
  TL184    AU180   81      184    1.00d+31    year    -
  TL185    AU181   81      185    1.00d+31    year    -
  TL186    AU182   81      186    1.00d+31    year    -
  TL187    AU183   81      187    1.00d+31    year    -
  PB180    HG176   82      180    4.00d+00    msec    -
  PB181    HG177   82      181    4.50d+01    msec    -
  PB182    HG178   82      182    5.50d+01    msec    -
  PB183    HG179   82      183    5.35d+02    msec    -
