C Maria Lugaro gave this file to Falk Herwig around 2003. It originates in Gallino's group in Torino. 
C
C ISOT.       Ni(AG89)      Xi(AG89)no      Ni(GR91)      Xi(GR91)                 these columns show the      
C these data are decreased by the factor 1.017 as input data in impterem       errors on the solar abundance 
C long-lived isotopes (*) are given at the formation of the solar system         and that on the neutron
C i.e. 4.55e9 yr ago                                                 atom %     capture cross section (these
C                                                                              (last should probably be updated) 
C  Marco   October 2005                                               AG89      sigperc sigperc*Ni MACSperc
D ca 48     1.140D+02     1.384D-07	1.140d+02     1.384d-07       0.187	  7.1  8.094D+00  10.11
D sc 45     3.420D+01     3.893D-08	3.420d+01     3.893d-08     100.0	  8.6  2.941D+00  7.01
D ti 46     1.920D+02     2.234D-07	1.920d+02     2.234d-07       8.0	  5.0  9.600D+00  12.08
D ti 47     1.750D+02     2.081D-07	1.750d+02     2.080d-07       7.3	  5.0  8.750D+00  11.88
D ti 48     1.771D+03     2.150D-06	1.771d+03     2.150d-06      73.8	  5.0  8.855D+01  16.56
D ti 49     1.320D+02     1.636D-07	1.320d+02     1.636d-07       5.5	  5.0  6.600D+00  9.50
D ti 50     1.300D+02     1.644D-07	1.300d+02     1.644d-07       5.4	  5.0  6.500D+00  12.50
D v  50     7.320D-01     9.258D-10	7.320d-01     9.258d-10       0.250	  5.1  3.733D-02  50.
D v  51     2.920D+02     3.767D-07	2.920d+02     3.767d-07      99.750	  5.1  1.489D+01  7.14
D cr 50     5.870D+02     7.424D-07	5.870d+02     7.424d-07       4.345	  7.6  4.461D+01  24.86
D cr 52     1.131D+04     1.488D-05	1.131d+04     1.488d-05      83.789	  7.6  8.596D+02  5.01
D cr 53     1.283D+03     1.720D-06	1.283d+03     1.720d-06       9.501	  7.6  9.751D+01  17.24
D cr 54     3.190D+02     4.357D-07	3.190d+02     4.357d-07       2.365	  7.6  2.424D+01  23.88
D mn 55     9.550D+03     1.329D-05	9.550d+03     1.329d-05     100.0	  9.6  9.168D+02  6.04
D fe 54     5.220D+04     7.130D-05	5.220d+04     7.130d-05       5.8	  2.7  1.409D+03  8.66
D fe 56     8.250D+05     1.169D-03	8.250d+05     1.169d-03      91.72	  2.7  2.228D+04  4.07    
D fe 57     1.980D+04     2.855D-05	1.980d+04     2.855d-05       2.2	  2.7  5.346D+02  10.0
D fe 58     2.520D+03     3.697D-06	2.520d+03     3.697d-06       0.28	  2.7  6.804D+01  10.16   
D co 59     2.250D+03     3.358D-06	2.250d+03     3.358d-06     100.0	  6.6  1.485D+02  10.0
D ni 58     3.370D+04     4.944D-05	3.370d+04     4.944d-05      68.27	  5.1  1.719D+03  6.62
D ni 60     1.290D+04     1.958D-05	1.290d+04     1.958d-05      26.10	  5.1  6.579D+02  5.24
