 29 CU 61    2.149648020e-09 
 29 CU 62    9.589703478e-11 
 29 CU 63    5.014614520e-08 
 29 CU 64    4.987186274e-11 
 29 CU 65    1.210758530e-08 
 29 CU 66    2.929418901e-13 
 29 CU 67    2.116789570e-14 
 29 CU 68    6.898064098e-21 
 29 CU 69    1.013678684e-22 
 29 CU 70    3.335006045e-46 
 29 CU 71    9.600235170e-50 
 30 ZN 62    3.514717735e-13 
 30 ZN 63    6.868066442e-13 
 30 ZN 64    5.762069988e-09 
 30 ZN 65    2.866651527e-10 
 30 ZN 66    9.961897305e-07 
 30 ZN 67    1.778181883e-10 
 30 ZN 68    5.875815326e-08 
 30 ZN 69    1.373494848e-13 
 30 ZN 70    1.995021359e-14 
 30 ZN 71    1.631792473e-20 
 30 ZN 72    1.712278973e-22 
 30 ZN 73    1.119816996e-49 
 30 ZN 74    4.059460689e-52 
 31 GA 65    8.366377515e-16 
 31 GA 66    1.045626169e-15 
 31 GA 67    3.045053384e-11 
 31 GA 68    1.182944028e-12 
 31 GA 69    1.909646358e-09 
 31 GA 70    3.763048360e-13 
 31 GA 71    1.969349155e-11 
 31 GA 72    1.694081605e-16 
 31 GA 73    3.989099717e-17 
 31 GA 74    8.805879448e-23 
 31 GA 75    2.123098977e-25 
 32 GE 66    1.314899098e-19 
 32 GE 67    6.017765156e-17 
 32 GE 68    2.317676463e-10 
 32 GE 69    3.650898005e-11 
 32 GE 70    2.974292669e-07 
 32 GE 71    3.838766899e-10 
 32 GE 72    4.882422367e-06 
 32 GE 73    2.252239408e-10 
 32 GE 74    2.127864658e-10 
 32 GE 75    2.819098609e-15 
 32 GE 76    6.268576701e-17 
 32 GE 77    7.908969900e-23 
 32 GE 78    9.427842403e-26 
 33 AS 69    2.535572149e-18 
 33 AS 70    1.711970183e-16 
 33 AS 71    1.014192039e-12 
 33 AS 72    2.243130879e-13 
 33 AS 73    5.065936740e-10 
 33 AS 74    1.393590837e-12 
 33 AS 75    2.674112856e-10 
 33 AS 76    1.071878579e-14 
 33 AS 77    5.714712866e-14 
 33 AS 78    2.681673575e-19 
 33 AS 79    9.563558859e-20 
 33 AS 80    1.803989579e-25 
 33 AS 81    7.707047120e-28 
 34 SE 72    8.876563671e-11 
 34 SE 73    5.623645207e-11 
 34 SE 74    6.376763463e-07 
 34 SE 75    9.141450731e-09 
 34 SE 76    1.767241292e-06 
 34 SE 77    2.498562714e-10 
 34 SE 78    4.138100433e-07 
 34 SE 79    5.761981504e-11 
 34 SE 80    9.190405425e-12 
 34 SE 81    2.707910403e-16 
 34 SE 82    1.507775377e-17 
 34 SE 83    1.084306818e-23 
 34 SE 84    7.768971030e-27 
 35 BR 74    6.372285571e-19 
 35 BR 75    6.469786810e-13 
 35 BR 76    2.196638607e-13 
 35 BR 77    2.415039261e-10 
 35 BR 78    8.773875185e-13 
 35 BR 79    1.470758707e-09 
 35 BR 80    2.571355320e-12 
 35 BR 81    9.119026221e-12 
 35 BR 82    2.605588921e-15 
 35 BR 83    4.091025941e-16 
 35 BR 84    3.708271546e-21 
 35 BR 85    5.856036783e-23 
 35 BR 86    2.560362821e-48 
 35 BR 87    7.381786942e-75 
 36 KR 76    1.313615031e-11 
 36 KR 77    3.833369555e-11 
 36 KR 78    4.116747554e-07 
 36 KR 79    1.864884481e-08 
 36 KR 80    4.026756670e-06 
 36 KR 81    1.282121958e-08 
 36 KR 82    4.848291651e-07 
 36 KR 83    5.979608009e-10 
 36 KR 84    5.007415548e-09 
 36 KR 85    8.611772886e-13 
 36 KR 86    2.989377348e-13 
 36 KR 87    8.069424882e-20 
 36 KR 88    1.482348191e-25 
 36 KR 89    9.451087079e-60 
 36 KR 90    1.000000000e-99 
 37 RB 79    1.149199776e-13 
 37 RB 80    2.435937752e-14 
 37 RB 81    5.281512349e-11 
 37 RB 82    3.817678473e-13 
 37 RB 83    4.333625399e-10 
 37 RB 84    4.185920127e-12 
 37 RB 85    1.556967644e-09 
 37 RB 86    1.802591506e-11 
 37 RB 87    5.519454470e-11 
 37 RB 88    5.108912878e-17 
 37 RB 89    6.464017185e-22 
 37 RB 90    3.309612574e-32 
 37 RB 91    5.050958943e-61 
 38 SR 80    4.829348647e-17 
 38 SR 81    4.570339530e-16 
 38 SR 82    1.936274678e-10 
 38 SR 83    5.521986691e-11 
 38 SR 84    4.069798737e-08 
 38 SR 85    4.182475770e-09 
 38 SR 86    5.155457826e-07 
 38 SR 87    2.073883646e-08 
 38 SR 88    8.550368720e-07 
 38 SR 89    3.510415426e-12 
 38 SR 90    1.756759433e-16 
 38 SR 91    6.881433229e-23 
 38 SR 92    2.025788269e-29 
 38 SR 93    8.172335382e-75 
 38 SR 94    1.000000000e-99 
 39 Y  85    1.028163305e-13 
 39 Y  86    1.243760154e-13 
 39 Y  87    4.663210252e-11 
 39 Y  88    6.999596523e-11 
 39 Y  89    1.985537206e-08 
 39 Y  90    2.517944102e-13 
 39 Y  91    3.400324474e-17 
 39 Y  92    8.942052790e-23 
 39 Y  93    2.037014382e-27 
 39 Y  94    1.279556225e-51 
 39 Y  95    1.000000000e-99 
 39 Y  96    1.000000000e-99 
 40 ZR 86    3.174031310e-15 
 40 ZR 87    3.092090332e-14 
 40 ZR 88    1.670996481e-10 
 40 ZR 89    2.165682315e-10 
 40 ZR 90    2.139615519e-07 
 40 ZR 91    2.447254688e-11 
 40 ZR 92    4.046702211e-14 
 40 ZR 93    1.073951369e-18 
 40 ZR 94    3.614810692e-22 
 40 ZR 95    2.253442881e-27 
 40 ZR 96    1.150465519e-72 
 40 ZR 97    1.000000000e-99 
 40 ZR 98    1.000000000e-99 
 41 NB 89    2.042801338e-16 
 41 NB 90    2.308700971e-15 
 41 NB 91    1.041648576e-11 
 41 NB 92    8.491662710e-15 
 41 NB 93    1.250985101e-16 
 41 NB 94    4.571891721e-21 
 41 NB 95    8.956988579e-24 
 41 NB 96    8.150730457e-31 
 41 NB 97    1.760912548e-72 
 41 NB 98    1.000000000e-99 
