H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod      926 dzeit  9.89E+02 agej  1.7564E+07
 # t9 =    5.734E-02 rho =    3.305E+01
 # densn  1.99037E-74
 # densp  1.63093E+11
 # densa  4.90692E+24
 # total_energy_flux_[erg/(g*s)]  0.00000E+00
  140    24.  49.   1   1.00000E-99  CR 49
  141    24.  50.   1   7.37136E-07  CR 50
  142    24.  51.   1   5.42192E-17  CR 51
  143    24.  52.   1   1.47835E-05  CR 52
  144    24.  53.   1   1.70857E-06  CR 53
  145    24.  54.   1   4.33324E-07  CR 54
  146    24.  55.   1   5.62345E-25  CR 55
  147    24.  56.   1   1.00000E-99  CR 56
  148    25.  51.   1   1.00000E-99  MN 51
  149    25.  52.   1   1.00000E-99  MN 52
  150    25.  53.   1   7.80407E-22  MN 53
  151    25.  54.   1   1.00000E-99  MN 54
  152    25.  55.   1   1.15067E-05  MN 55
  153    25.  56.   1   9.67790E-21  MN 56
  154    25.  57.   1   1.00000E-99  MN 57
  155    26.  52.   1   1.00000E-99  FE 52
  156    26.  53.   1   1.00000E-99  FE 53
  157    26.  54.   1   7.75829E-05  FE 54
  158    26.  55.   1   1.18535E-13  FE 55
  159    26.  56.   1   1.26299E-03  FE 56
  160    26.  57.   1   2.96889E-05  FE 57
  161    26.  58.   1   4.02036E-06  FE 58
  162    26.  59.   1   1.80355E-19  FE 59
  163    26.  60.   1   1.00000E-99  FE 60
  164    26.  61.   1   1.00000E-99  FE 61
  165    27.  55.   1   1.00000E-99  CO 55
  166    27.  56.   1   1.00000E-99  CO 56
  167    27.  57.   1   1.00000E-99  CO 57
  168    27.  58.   1   1.00000E-99  CO 58
  169    27.  59.   1   4.48167E-06  CO 59
  170    27.  60.   1   2.80144E-17  CO 60
  171    27.  61.   1   1.00000E-99  CO 61
  172    27.  62.   1   1.00000E-99  CO 62
  173    27.  63.   1   1.00000E-99  CO 63
  174    28.  56.   1   1.00000E-99  NI 56
  175    28.  57.   1   1.00000E-99  NI 57
  176    28.  58.   1   5.09349E-05  NI 58
  177    28.  59.   1   9.81453E-14  NI 59
  178    28.  60.   1   2.02966E-05  NI 60
  179    28.  61.   1   8.96983E-07  NI 61
  180    28.  62.   1   2.90686E-06  NI 62
  181    28.  63.   1   6.74380E-16  NI 63
  182    28.  64.   1   7.64172E-07  NI 64
  183    28.  65.   1   2.86182E-23  NI 65
  184    28.  66.   1   1.00000E-99  NI 66
  185    28.  67.   1   1.00000E-99  NI 67
  186    28.  68.   1   1.00000E-99  NI 68
  187    29.  60.   1   1.00000E-99  CU 60
  188    29.  61.   1   1.00000E-99  CU 61
  189    29.  62.   1   1.00000E-99  CU 62
  190    29.  63.   1   5.24622E-07  CU 63
  191    29.  64.   1   3.28867E-21  CU 64
  192    29.  65.   1   2.41254E-07  CU 65
  193    29.  66.   1   3.17541E-24  CU 66
  194    29.  67.   1   1.00000E-99  CU 67
  195    29.  68.   1   1.00000E-99  CU 68
  196    29.  69.   1   1.00000E-99  CU 69
  197    29.  70.   1   1.00000E-99  CU 70
  198    29.  71.   1   1.00000E-99  CU 71
  199    30.  62.   1   1.00000E-99  ZN 62
  200    30.  63.   1   1.00000E-99  ZN 63
  201    30.  64.   1   8.78359E-07  ZN 64
  202    30.  65.   1   6.46960E-17  ZN 65
  203    30.  66.   1   5.19680E-07  ZN 66
  204    30.  67.   1   7.75258E-08  ZN 67
  205    30.  68.   1   3.59830E-07  ZN 68
  206    30.  69.   1   4.36824E-23  ZN 69
  207    30.  70.   1   1.22483E-08  ZN 70
  208    30.  71.   1   3.90059E-26  ZN 71
  209    30.  72.   1   1.00000E-99  ZN 72
  210    30.  73.   1   1.00000E-99  ZN 73
  211    30.  74.   1   1.00000E-99  ZN 74
  212    31.  65.   1   1.00000E-99  GA 65
  213    31.  66.   1   1.00000E-99  GA 66
  214    31.  67.   1   1.00000E-99  GA 67
  215    31.  68.   1   1.00000E-99  GA 68
  216    31.  69.   1   3.53483E-08  GA 69
  217    31.  70.   1   5.75601E-24  GA 70
  218    31.  71.   1   2.41397E-08  GA 71
  219    31.  72.   1   1.81119E-22  GA 72
  220    31.  73.   1   1.00000E-99  GA 73
  221    31.  74.   1   1.00000E-99  GA 74
  222    31.  75.   1   1.00000E-99  GA 75
  223    32.  66.   1   1.00000E-99  GE 66
  224    32.  67.   1   1.00000E-99  GE 67
  225    32.  68.   1   1.00000E-99  GE 68
  226    32.  69.   1   1.00000E-99  GE 69
  227    32.  70.   1   5.06505E-08  GE 70
  228    32.  71.   1   1.00753E-20  GE 71
  229    32.  72.   1   6.88469E-08  GE 72
  230    32.  73.   1   1.95925E-08  GE 73
  231    32.  74.   1   9.32152E-08  GE 74
  232    32.  75.   1   1.89449E-23  GE 75
  233    32.  76.   1   2.00810E-08  GE 76
  234    32.  77.   1   1.83807E-23  GE 77
  235    32.  78.   1   1.00000E-99  GE 78
  236    33.  69.   1   1.00000E-99  AS 69
  237    33.  70.   1   1.00000E-99  AS 70
  238    33.  71.   1   1.00000E-99  AS 71
  239    33.  72.   1   1.00000E-99  AS 72
  240    33.  73.   1   1.00000E-99  AS 73
  241    33.  74.   1   1.00000E-99  AS 74
  242    33.  75.   1   1.16319E-08  AS 75
  243    33.  76.   1   3.41719E-22  AS 76
  244    33.  77.   1   6.29984E-23  AS 77
  245    33.  78.   1   1.00000E-99  AS 78
  246    33.  79.   1   1.00000E-99  AS 79
  247    33.  80.   1   1.00000E-99  AS 80
  248    33.  81.   1   1.00000E-99  AS 81
  249    34.  72.   1   1.00000E-99  SE 72
  250    34.  73.   1   1.00000E-99  SE 73
  251    34.  74.   1   1.11998E-09  SE 74
  252    34.  75.   1   6.48765E-21  SE 75
  253    34.  76.   1   1.21099E-08  SE 76
  254    34.  77.   1   9.99086E-09  SE 77
  255    34.  78.   1   3.15291E-08  SE 78
  256    34.  79.   1   1.95841E-16  SE 79
  257    34.  80.   1   6.74912E-08  SE 80
  258    34.  81.   1   3.36276E-24  SE 81
  259    34.  82.   1   1.21735E-08  SE 82
  260    34.  83.   1   1.58810E-25  SE 83
  261    34.  84.   1   1.00000E-99  SE 84
  262    35.  74.   1   1.00000E-99  BR 74
  263    35.  75.   1   1.00000E-99  BR 75
  264    35.  76.   1   1.00000E-99  BR 76
  265    35.  77.   1   1.00000E-99  BR 77
  266    35.  78.   1   1.00000E-99  BR 78
  267    35.  79.   1   1.07929E-08  BR 79
  268    35.  80.   1   7.71835E-24  BR 80
  269    35.  81.   1   1.07648E-08  BR 81
  270    35.  82.   1   3.73127E-22  BR 82
  271    35.  83.   1   1.01158E-24  BR 83
  272    35.  84.   1   1.00000E-99  BR 84
  273    35.  85.   1   1.00000E-99  BR 85
  274    35.  86.   1   1.00000E-99  BR 86
  275    35.  87.   1   1.00000E-99  BR 87
  276    36.  76.   1   1.00000E-99  KR 76
  277    36.  77.   1   1.00000E-99  KR 77
  278    36.  78.   1   3.90293E-10  KR 78
  279    36.  79.   1   1.13219E-23  KR 79
  280    36.  80.   1   2.57210E-09  KR 80
  281    36.  81.   1   1.13412E-16  KR 81
  282    36.  82.   1   1.32103E-08  KR 82
  283    36.  83.   1   1.32464E-08  KR 83
  284    36.  84.   1   6.60697E-08  KR 84
  285    36.  85.   1   6.69855E-19  KR 85
  286    36.  86.   1   2.04558E-08  KR 86
  287    36.  87.   1   1.04829E-25  KR 87
  288    36.  88.   1   1.00000E-99  KR 88
  289    36.  89.   1   1.00000E-99  KR 89
  290    36.  90.   1   1.00000E-99  KR 90
  291    37.  79.   1   1.00000E-99  RB 79
  292    37.  80.   1   1.00000E-99  RB 80
  293    37.  81.   1   1.00000E-99  RB 81
  294    37.  82.   1   1.00000E-99  RB 82
  295    37.  83.   1   1.00000E-99  RB 83
  296    37.  84.   1   1.00000E-99  RB 84
  297    37.  85.   1   1.54992E-08  RB 85
  298    37.  86.   1   4.19876E-21  RB 86
  299    37.  87.   1   6.52704E-09  RB 87
  300    37.  88.   1   9.33659E-26  RB 88
  301    37.  89.   1   1.00000E-99  RB 89
  302    37.  90.   1   1.00000E-99  RB 90
  303    37.  91.   1   1.00000E-99  RB 91
  304    38.  80.   1   1.00000E-99  SR 80
  305    38.  81.   1   1.00000E-99  SR 81
  306    38.  82.   1   1.00000E-99  SR 82
  307    38.  83.   1   1.00000E-99  SR 83
  308    38.  84.   1   2.70085E-10  SR 84
  309    38.  85.   1   8.12281E-22  SR 85
  310    38.  86.   1   4.88997E-09  SR 86
  311    38.  87.   1   3.45888E-09  SR 87
  312    38.  88.   1   4.19238E-08  SR 88
  313    38.  89.   1   7.76019E-22  SR 89
  314    38.  90.   1   1.00000E-99  SR 90
  315    38.  91.   1   1.00000E-99  SR 91
  316    38.  92.   1   1.00000E-99  SR 92
  317    38.  93.   1   1.00000E-99  SR 93
  318    38.  94.   1   1.00000E-99  SR 94
  319    39.  85.   1   1.00000E-99  Y  85
  320    39.  86.   1   1.00000E-99  Y  86
  321    39.  87.   1   1.00000E-99  Y  87
  322    39.  88.   1   1.00000E-99  Y  88
  323    39.  89.   1   1.12196E-08  Y  89
  324    39.  90.   1   6.80343E-23  Y  90
  325    39.  91.   1   1.00000E-99  Y  91
  326    39.  92.   1   1.00000E-99  Y  92
  327    39.  93.   1   1.00000E-99  Y  93
  328    39.  94.   1   1.00000E-99  Y  94
  329    39.  95.   1   1.00000E-99  Y  95
  330    39.  96.   1   1.00000E-99  Y  96
  331    40.  86.   1   1.00000E-99  ZR 86
  332    40.  87.   1   1.00000E-99  ZR 87
  333    40.  88.   1   1.00000E-99  ZR 88
  334    40.  89.   1   1.00000E-99  ZR 89
  335    40.  90.   1   1.36841E-08  ZR 90
  336    40.  91.   1   3.01732E-09  ZR 91
  337    40.  92.   1   4.66272E-09  ZR 92
  338    40.  93.   1   2.86678E-17  ZR 93
  339    40.  94.   1   4.82798E-09  ZR 94
  340    40.  95.   1   7.23730E-22  ZR 95
  341    40.  96.   1   7.94359E-10  ZR 96
  342    40.  97.   1   9.84547E-25  ZR 97
  343    40.  98.   1   1.00000E-99  ZR 98
  344    41.  89.   1   1.00000E-99  NB 89
  345    41.  90.   1   1.00000E-99  NB 90
  346    41.  91.   1   1.00000E-99  NB 91
  347    41.  92.   1   1.00000E-99  NB 92
  348    41.  93.   1   2.08483E-09  NB 93
  349    41.  94.   1   4.39022E-19  NB 94
  350    41.  95.   1   3.95032E-22  NB 95
  351    41.  96.   1   1.00000E-99  NB 96
  352    41.  97.   1   7.01490E-26  NB 97
  353    41.  98.   1   1.00000E-99  NB 98
  354    41.  99.   1   1.00000E-99  NB 99
  355    42.  90.   1   1.00000E-99  MO 90
  356    42.  91.   1   1.00000E-99  MO 91
  357    42.  92.   1   7.87937E-10  MO 92
  358    42.  93.   1   4.72096E-18  MO 93
  359    42.  94.   1   5.07206E-10  MO 94
  360    42.  95.   1   8.87180E-10  MO 95
  361    42.  96.   1   9.43728E-10  MO 96
  362    42.  97.   1   5.49017E-10  MO 97
  363    42.  98.   1   1.40943E-09  MO 98
  364    42.  99.   1   3.84213E-23  MO 99
  365    42. 100.   1   5.79263E-10  MO100
  366    42. 101.   1   5.49295E-26  MO101
  367    42. 102.   1   1.00000E-99  MO102
  368    43.  93.   1   1.00000E-99  TC 93
  369    43.  94.   1   1.00000E-99  TC 94
  370    43.  95.   1   1.00000E-99  TC 95
  371    43.  96.   1   1.00000E-99  TC 96
  372    43.  97.   1   4.40426E-18  TC 97
  373    43.  98.   1   9.00254E-27  TC 98
  374    43.  99.   1   1.80997E-17  TC 99
  375    43. 100.   1   1.00000E-99  TC100
  376    43. 101.   1   5.34240E-26  TC101
  377    43. 102.   1   1.00000E-99  TC102
  378    43. 103.   1   1.00000E-99  TC103
  379    43. 104.   1   1.00000E-99  TC104
  380    43. 105.   1   1.00000E-99  TC105
  381    44.  94.   1   1.00000E-99  RU 94
  382    44.  95.   1   1.00000E-99  RU 95
  383    44.  96.   1   2.32471E-10  RU 96
  384    44.  97.   1   1.43348E-23  RU 97
  385    44.  98.   1   8.01042E-11  RU 98
  386    44.  99.   1   5.52171E-10  RU 99
  387    44. 100.   1   5.50755E-10  RU100
  388    44. 101.   1   7.53162E-10  RU101
  389    44. 102.   1   1.40665E-09  RU102
  390    44. 103.   1   3.58442E-23  RU103
  391    44. 104.   1   8.46449E-10  RU104
  392    44. 105.   1   2.04823E-24  RU105
  393    44. 106.   1   1.00000E-99  RU106
  394    45.  98.   1   1.00000E-99  RH 98
  395    45.  99.   1   1.00000E-99  RH 99
  396    45. 100.   1   1.00000E-99  RH100
  397    45. 101.   1   1.00000E-99  RH101
  398    45. 102.   1   1.00000E-99  RH102
  399    45. 103.   1   6.50766E-10  RH103
  400    45. 104.   1   2.00851E-26  RH104
  401    45. 105.   1   1.88527E-23  RH105
  402    45. 106.   1   1.00000E-99  RH106
  403    45. 107.   1   1.00000E-99  RH107
  404    45. 108.   1   1.00000E-99  RH108
  405    46.  99.   1   1.00000E-99  PD 99
  406    46. 100.   1   1.00000E-99  PD100
  407    46. 101.   1   1.00000E-99  PD101
  408    46. 102.   1   3.00461E-11  PD102
  409    46. 103.   1   1.97394E-23  PD103
  410    46. 104.   1   3.34585E-10  PD104
  411    46. 105.   1   6.77120E-10  PD105
  412    46. 106.   1   8.36630E-10  PD106
  413    46. 107.   1   2.16965E-15  PD107
  414    46. 108.   1   8.25280E-10  PD108
  415    46. 109.   1   8.54368E-24  PD109
  416    46. 110.   1   3.72313E-10  PD110
  417    46. 111.   1   8.49128E-26  PD111
  418    46. 112.   1   1.00000E-99  PD112
  419    47. 101.   1   1.00000E-99  AG101
  420    47. 102.   1   1.00000E-99  AG102
  421    47. 103.   1   1.00000E-99  AG103
  422    47. 104.   1   1.00000E-99  AG104
  423    47. 105.   1   1.00000E-99  AG105
  424    47. 106.   1   1.00000E-99  AG106
  425    47. 107.   1   3.75514E-10  AG107
  426    47. 108.   1   3.20900E-26  AG108
  427    47. 109.   1   3.55394E-10  AG109
  428    47. 110.   1   1.23375E-26  AG110
  429    47. 111.   1   4.05479E-23  AG111
  430    47. 112.   1   1.00000E-99  AG112
  431    47. 113.   1   1.00000E-99  AG113
  432    48. 102.   1   1.00000E-99  CD102
  433    48. 103.   1   1.00000E-99  CD103
  434    48. 104.   1   1.00000E-99  CD104
  435    48. 105.   1   1.00000E-99  CD105
  436    48. 106.   1   5.28206E-11  CD106
  437    48. 107.   1   3.83693E-25  CD107
  438    48. 108.   1   3.83179E-11  CD108
  439    48. 109.   1   3.60309E-22  CD109
  440    48. 110.   1   5.47700E-10  CD110
  441    48. 111.   1   5.66397E-10  CD111
  442    48. 112.   1   1.07737E-09  CD112
  443    48. 113.   1   5.50475E-10  CD113
  444    48. 114.   1   1.30565E-09  CD114
  445    48. 115.   1   6.09053E-22  CD115
  446    48. 116.   1   3.46360E-10  CD116
  447    48. 117.   1   2.14062E-25  CD117
  448    48. 118.   1   1.00000E-99  CD118
  449    49. 106.   1   1.00000E-99  IN106
  450    49. 107.   1   1.00000E-99  IN107
  451    49. 108.   1   1.00000E-99  IN108
  452    49. 109.   1   1.00000E-99  IN109
  453    49. 110.   1   1.00000E-99  IN110
  454    49. 111.   1   1.00000E-99  IN111
  455    49. 112.   1   1.00000E-99  IN112
  456    49. 113.   1   2.37752E-11  IN113
  457    49. 114.   1   1.53801E-27  IN114
  458    49. 115.   1   5.39812E-10  IN115
  459    49. 116.   1   4.73414E-27  IN116
  460    49. 117.   1   6.24284E-26  IN117
  461    49. 118.   1   1.00000E-99  IN118
  462    49. 119.   1   1.00000E-99  IN119
  463    50. 108.   1   1.00000E-99  SN108
  464    50. 109.   1   1.00000E-99  SN109
  465    50. 110.   1   1.00000E-99  SN110
  466    50. 111.   1   1.00000E-99  SN111
  467    50. 112.   1   9.25929E-11  SN112
  468    50. 113.   1   2.05166E-22  SN113
  469    50. 114.   1   6.41264E-11  SN114
  470    50. 115.   1   3.33246E-11  SN115
  471    50. 116.   1   1.43751E-09  SN116
  472    50. 117.   1   7.65834E-10  SN117
  473    50. 118.   1   2.43581E-09  SN118
  474    50. 119.   1   8.71220E-10  SN119
  475    50. 120.   1   3.33212E-09  SN120
  476    50. 121.   1   3.04032E-23  SN121
  477    50. 122.   1   4.81425E-10  SN122
  478    50. 123.   1   1.20252E-23  SN123
  479    50. 124.   1   6.11911E-10  SN124
  480    50. 125.   1   5.09335E-24  SN125
  481    50. 126.   1   1.00000E-99  SN126
  482    50. 127.   1   1.00000E-99  SN127
  483    50. 128.   1   1.00000E-99  SN128
  484    50. 129.   1   1.00000E-99  SN129
  485    50. 130.   1   1.00000E-99  SN130
  486    51. 112.   1   1.00000E-99  SB112
  487    51. 113.   1   1.00000E-99  SB113
  488    51. 114.   1   1.00000E-99  SB114
  489    51. 115.   1   1.00000E-99  SB115
  490    51. 116.   1   1.00000E-99  SB116
  491    51. 117.   1   1.00000E-99  SB117
  492    51. 118.   1   1.00000E-99  SB118
  493    51. 119.   1   1.00000E-99  SB119
  494    51. 120.   1   1.00000E-99  SB120
  495    51. 121.   1   5.50611E-10  SB121
  496    51. 122.   1   6.43917E-23  SB122
  497    51. 123.   1   4.18635E-10  SB123
  498    51. 124.   1   5.38139E-25  SB124
  499    51. 125.   1   1.45114E-21  SB125
  500    51. 126.   1   1.00000E-99  SB126
  501    51. 127.   1   1.00000E-99  SB127
  502    51. 128.   1   1.00000E-99  SB128
  503    51. 129.   1   1.00000E-99  SB129
  504    51. 130.   1   1.00000E-99  SB130
  505    51. 131.   1   1.00000E-99  SB131
  506    51. 132.   1   1.00000E-99  SB132
  507    51. 133.   1   1.00000E-99  SB133
  508    52. 114.   1   1.00000E-99  TE114
  509    52. 115.   1   1.00000E-99  TE115
  510    52. 116.   1   1.00000E-99  TE116
  511    52. 117.   1   1.00000E-99  TE117
  512    52. 118.   1   1.00000E-99  TE118
  513    52. 119.   1   1.00000E-99  TE119
  514    52. 120.   1   1.27061E-11  TE120
  515    52. 121.   1   9.93362E-24  TE121
  516    52. 122.   1   3.66006E-10  TE122
  517    52. 123.   1   1.28790E-10  TE123
  518    52. 124.   1   6.91493E-10  TE124
  519    52. 125.   1   1.03972E-09  TE125
  520    52. 126.   1   2.79280E-09  TE126
  521    52. 127.   1   9.02286E-24  TE127
  522    52. 128.   1   4.77974E-09  TE128
  523    52. 129.   1   6.93237E-25  TE129
  524    52. 130.   1   5.21232E-09  TE130
  525    52. 131.   1   1.05083E-25  TE131
  526    52. 132.   1   1.00000E-99  TE132
  527    52. 133.   1   1.00000E-99  TE133
  528    52. 134.   1   1.00000E-99  TE134
  529    53. 117.   1   1.00000E-99  I 117
  530    53. 118.   1   1.00000E-99  I 118
  531    53. 119.   1   1.00000E-99  I 119
  532    53. 120.   1   1.00000E-99  I 120
  533    53. 121.   1   1.00000E-99  I 121
  534    53. 122.   1   1.00000E-99  I 122
  535    53. 123.   1   1.00000E-99  I 123
  536    53. 124.   1   1.00000E-99  I 124
  537    53. 125.   1   9.64142E-23  I 125
  538    53. 126.   1   1.00000E-99  I 126
  539    53. 127.   1   3.50261E-09  I 127
  540    53. 128.   1   3.36379E-24  I 128
  541    53. 129.   1   4.62735E-19  I 129
  542    53. 130.   1   1.00000E-99  I 130
  543    53. 131.   1   4.86450E-23  I 131
  544    53. 132.   1   1.00000E-99  I 132
  545    53. 133.   1   1.00000E-99  I 133
  546    53. 134.   1   1.00000E-99  I 134
  547    53. 135.   1   1.00000E-99  I 135
  548    54. 118.   1   1.00000E-99  XE118
  549    54. 119.   1   1.00000E-99  XE119
  550    54. 120.   1   1.00000E-99  XE120
  551    54. 121.   1   1.00000E-99  XE121
  552    54. 122.   1   1.00000E-99  XE122
  553    54. 123.   1   1.00000E-99  XE123
  554    54. 124.   1   2.04347E-11  XE124
  555    54. 125.   1   1.16605E-24  XE125
  556    54. 126.   1   1.83815E-11  XE126
  557    54. 127.   1   2.27331E-23  XE127
  558    54. 128.   1   3.78308E-10  XE128
  559    54. 129.   1   4.74923E-09  XE129
  560    54. 130.   1   7.68438E-10  XE130
  561    54. 131.   1   3.83865E-09  XE131
  562    54. 132.   1   4.72756E-09  XE132
  563    54. 133.   1   1.25944E-22  XE133
  564    54. 134.   1   1.77205E-09  XE134
  565    54. 135.   1   1.05623E-24  XE135
  566    54. 136.   1   1.46121E-09  XE136
  567    54. 137.   1   1.00000E-99  XE137
  568    54. 138.   1   1.00000E-99  XE138
  569    55. 123.   1   1.00000E-99  CS123
  570    55. 124.   1   1.00000E-99  CS124
  571    55. 125.   1   1.00000E-99  CS125
  572    55. 126.   1   1.00000E-99  CS126
  573    55. 127.   1   1.00000E-99  CS127
  574    55. 128.   1   1.00000E-99  CS128
  575    55. 129.   1   1.00000E-99  CS129
  576    55. 130.   1   1.00000E-99  CS130
  577    55. 131.   1   9.25872E-24  CS131
  578    55. 132.   1   1.00000E-99  CS132
  579    55. 133.   1   1.24291E-09  CS133
  580    55. 134.   1   3.77654E-20  CS134
  581    55. 135.   1   3.80206E-18  CS135
  582    55. 136.   1   1.00000E-99  CS136
  583    55. 137.   1   2.74743E-21  CS137
  584    55. 138.   1   1.00000E-99  CS138
  585    55. 139.   1   1.00000E-99  CS139
  586    56. 124.   1   1.00000E-99  BA124
  587    56. 125.   1   1.00000E-99  BA125
  588    56. 126.   1   1.00000E-99  BA126
  589    56. 127.   1   1.00000E-99  BA127
  590    56. 128.   1   1.00000E-99  BA128
  591    56. 129.   1   1.00000E-99  BA129
