H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod      281 dzeit  1.25E+01 agej  4.7207E+04
 # t9 =    8.225E-01 rho =    1.357E+06
 # densn  1.02902E+04
 # densp  4.61071E+07
 # densa  2.61765E+13
 # total_energy_flux_[erg/(g*s)]  0.00000E+00
  140    24.  49.   1   1.00000E-99  CR 49
  141    24.  50.   1   5.51181E-09  CR 50
  142    24.  51.   1   8.24847E-16  CR 51
  143    24.  52.   1   4.32936E-06  CR 52
  144    24.  53.   1   1.39331E-06  CR 53
  145    24.  54.   1   7.76931E-06  CR 54
  146    24.  55.   1   4.54556E-17  CR 55
  147    24.  56.   1   1.00000E-99  CR 56
  148    25.  51.   1   1.95767E-22  MN 51
  149    25.  52.   1   1.00000E-99  MN 52
  150    25.  53.   1   6.61723E-11  MN 53
  151    25.  54.   1   2.30867E-14  MN 54
  152    25.  55.   1   8.12941E-06  MN 55
  153    25.  56.   1   3.58461E-16  MN 56
  154    25.  57.   1   1.44484E-23  MN 57
  155    26.  52.   1   1.00000E-99  FE 52
  156    26.  53.   1   1.00000E-99  FE 53
  157    26.  54.   1   2.38591E-06  FE 54
  158    26.  55.   1   1.01566E-12  FE 55
  159    26.  56.   1   2.43153E-04  FE 56
  160    26.  57.   1   1.25335E-04  FE 57
  161    26.  58.   1   4.11717E-04  FE 58
  162    26.  59.   1   3.92599E-11  FE 59
  163    26.  60.   1   3.74003E-10  FE 60
  164    26.  61.   1   1.40289E-21  FE 61
  165    27.  55.   1   1.69883E-19  CO 55
  166    27.  56.   1   1.02999E-24  CO 56
  167    27.  57.   1   4.63801E-13  CO 57
  168    27.  58.   1   1.69700E-14  CO 58
  169    27.  59.   1   1.97781E-04  CO 59
  170    27.  60.   1   8.47960E-12  CO 60
  171    27.  61.   1   4.66338E-14  CO 61
  172    27.  62.   1   6.44333E-25  CO 62
  173    27.  63.   1   1.00000E-99  CO 63
  174    28.  56.   1   1.00000E-99  NI 56
  175    28.  57.   1   1.00000E-99  NI 57
  176    28.  58.   1   5.54798E-07  NI 58
  177    28.  59.   1   2.74735E-13  NI 59
  178    28.  60.   1   1.78593E-04  NI 60
  179    28.  61.   1   6.75676E-05  NI 61
  180    28.  62.   1   1.74354E-04  NI 62
  181    28.  63.   1   3.17410E-05  NI 63
  182    28.  64.   1   7.24336E-05  NI 64
  183    28.  65.   1   3.39487E-15  NI 65
  184    28.  66.   1   4.04377E-23  NI 66
  185    28.  67.   1   1.00000E-99  NI 67
  186    28.  68.   1   1.00000E-99  NI 68
  187    29.  60.   1   1.00000E-99  CU 60
  188    29.  61.   1   6.18719E-19  CU 61
  189    29.  62.   1   1.54548E-19  CU 62
  190    29.  63.   1   4.21594E-06  CU 63
  191    29.  64.   1   1.11981E-14  CU 64
  192    29.  65.   1   1.29904E-05  CU 65
  193    29.  66.   1   4.93188E-16  CU 66
  194    29.  67.   1   2.07503E-21  CU 67
  195    29.  68.   1   1.00000E-99  CU 68
  196    29.  69.   1   1.00000E-99  CU 69
  197    29.  70.   1   1.00000E-99  CU 70
  198    29.  71.   1   1.00000E-99  CU 71
  199    30.  62.   1   1.00000E-99  ZN 62
  200    30.  63.   1   1.00000E-99  ZN 63
  201    30.  64.   1   4.87537E-11  ZN 64
  202    30.  65.   1   1.39070E-16  ZN 65
  203    30.  66.   1   7.36903E-06  ZN 66
  204    30.  67.   1   1.90548E-06  ZN 67
  205    30.  68.   1   6.04840E-06  ZN 68
  206    30.  69.   1   1.43164E-15  ZN 69
  207    30.  70.   1   1.45473E-09  ZN 70
  208    30.  71.   1   2.60349E-20  ZN 71
  209    30.  72.   1   1.00000E-99  ZN 72
  210    30.  73.   1   1.00000E-99  ZN 73
  211    30.  74.   1   1.00000E-99  ZN 74
  212    31.  65.   1   2.21266E-26  GA 65
  213    31.  66.   1   1.00000E-99  GA 66
  214    31.  67.   1   2.20426E-18  GA 67
  215    31.  68.   1   9.59518E-21  GA 68
  216    31.  69.   1   6.97108E-07  GA 69
  217    31.  70.   1   4.61033E-16  GA 70
  218    31.  71.   1   6.03945E-07  GA 71
  219    31.  72.   1   8.22949E-17  GA 72
