H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod      125 dzeit  2.78E+02 agej  5.3038E+08
 # t9 =    1.004E-01 rho =    1.466E+04
 # densn  5.98329E+01
 # densp  9.03320E+08
 # densa  3.56496E+27
 # total_energy_flux_[erg/(g*s)]  0.00000E+00
  137    23.  52.   1   3.05467E-19  V  52
  138    23.  53.   1   1.00000E-99  V  53
  139    24.  48.   1   1.00000E-99  CR 48
  140    24.  49.   1   1.00000E-99  CR 49
  141    24.  50.   1   1.00000E-99  CR 50
  142    24.  51.   1   1.00000E-99  CR 51
  143    24.  52.   1   8.32340E-06  CR 52
  144    24.  53.   1   3.22205E-07  CR 53
  145    24.  54.   1   4.42114E-06  CR 54
  146    24.  55.   1   1.50207E-19  CR 55
  147    24.  56.   1   1.00000E-99  CR 56
  148    25.  51.   1   1.00000E-99  MN 51
  149    25.  52.   1   1.00000E-99  MN 52
  150    25.  53.   1   1.88453E-22  MN 53
  151    25.  54.   1   1.00000E-99  MN 54
  152    25.  55.   1   3.95646E-07  MN 55
  153    25.  56.   1   4.71709E-18  MN 56
  154    25.  57.   1   1.00000E-99  MN 57
  155    26.  52.   1   1.00000E-99  FE 52
  156    26.  53.   1   1.00000E-99  FE 53
  157    26.  54.   1   5.20809E-20  FE 54
  158    26.  55.   1   1.57632E-25  FE 55
  159    26.  56.   1   1.44305E-05  FE 56
  160    26.  57.   1   1.64986E-06  FE 57
  161    26.  58.   1   9.32473E-06  FE 58
  162    26.  59.   1   1.06570E-14  FE 59
  163    26.  60.   1   5.11524E-07  FE 60
  164    26.  61.   1   8.55605E-21  FE 61
  165    27.  55.   1   1.00000E-99  CO 55
  166    27.  56.   1   1.00000E-99  CO 56
  167    27.  57.   1   1.00000E-99  CO 57
  168    27.  58.   1   1.00000E-99  CO 58
  169    27.  59.   1   2.78654E-06  CO 59
  170    27.  60.   1   3.22357E-13  CO 60
  171    27.  61.   1   1.94407E-19  CO 61
  172    27.  62.   1   1.00000E-99  CO 62
  173    27.  63.   1   1.00000E-99  CO 63
  174    28.  56.   1   1.00000E-99  NI 56
  175    28.  57.   1   1.00000E-99  NI 57
  176    28.  58.   1   5.31907E-13  NI 58
  177    28.  59.   1   9.42094E-14  NI 59
  178    28.  60.   1   4.88376E-06  NI 60
  179    28.  61.   1   1.60973E-06  NI 61
  180    28.  62.   1   2.65309E-06  NI 62
  181    28.  63.   1   2.79432E-11  NI 63
  182    28.  64.   1   4.71361E-05  NI 64
  183    28.  65.   1   5.62600E-17  NI 65
  184    28.  66.   1   6.82544E-27  NI 66
  185    28.  67.   1   1.00000E-99  NI 67
  186    28.  68.   1   1.00000E-99  NI 68
  187    29.  60.   1   1.00000E-99  CU 60
  188    29.  61.   1   1.00000E-99  CU 61
  189    29.  62.   1   1.00000E-99  CU 62
  190    29.  63.   1   2.91913E-06  CU 63
  191    29.  64.   1   2.94849E-16  CU 64
  192    29.  65.   1   1.24287E-05  CU 65
  193    29.  66.   1   3.09974E-18  CU 66
  194    29.  67.   1   2.17997E-27  CU 67
  195    29.  68.   1   1.00000E-99  CU 68
  196    29.  69.   1   1.00000E-99  CU 69
  197    29.  70.   1   1.00000E-99  CU 70
  198    29.  71.   1   1.00000E-99  CU 71
  199    30.  62.   1   1.00000E-99  ZN 62
  200    30.  63.   1   1.00000E-99  ZN 63
  201    30.  64.   1   2.02275E-06  ZN 64
  202    30.  65.   1   1.74308E-13  ZN 65
  203    30.  66.   1   1.44041E-05  ZN 66
  204    30.  67.   1   2.89866E-06  ZN 67
  205    30.  68.   1   1.98268E-05  ZN 68
  206    30.  69.   1   4.55102E-17  ZN 69
