# Next cycle =   1501, run time to this point:     9.26E+00
# M | iter | titer | nsubt | < NRNW t/s > | nucnet99 t/s | last nvar1 | physics t/s 
 291      2      2      0     9.63250E-03     1.930E-02          111   2.60480E-02
 301      2      2      0     1.04465E-02     2.092E-02          109   3.02550E-02
 311      2      2      0     1.21100E-02     2.428E-02          106   2.60930E-02
 321      2      2      0     1.34440E-02     2.696E-02          104   4.41010E-02
 331      2      2      0     1.21540E-02     2.436E-02           97   2.55340E-02
 341      2      2      0     1.44570E-02     2.895E-02           97   2.87280E-02
 351      2      2      0     1.18550E-02     2.376E-02           93   2.56130E-02
 361      2      2      0     1.14505E-02     2.296E-02           90   2.57110E-02
 371      2      2      0     1.86235E-02     3.734E-02           85   4.83040E-02
 381      2      2      0     1.33010E-02     2.667E-02           85   4.45580E-02
 391      2      2      0     1.18735E-02     2.379E-02           84   4.31520E-02
 401      2      2      0     1.12065E-02     2.245E-02           84   2.37330E-02
 411      2      2      0     1.71620E-02     3.438E-02           84   2.36250E-02
 421      2      2      0     1.61660E-02     3.237E-02           83   2.54580E-02
 431      2      2      0     1.18180E-02     2.367E-02           80   4.12670E-02
 441      2      2      0     1.50005E-02     3.004E-02           71   2.79940E-02
 451      2      2      0     1.39485E-02     2.795E-02           69   2.43230E-02
 461      2      2      0     1.18965E-02     2.384E-02           58   3.93200E-02
 471      2      2      0     4.66800E-03     9.349E-03           54   4.01700E-02
# sum(solver_time) =  1.676E+01 sum(physics_time) =  1.478E+01
# Next cycle =   1503, run time to this point:     1.41E+01
# M | iter | titer | nsubt | < NRNW t/s > | nucnet99 t/s | last nvar1 | physics t/s 
   1      3      3      0     2.81830E-02     8.464E-02          616   3.55110E-02
  11      3      3      0     1.63560E-02     4.912E-02          619   3.21410E-02
  21      3      3      0     2.18280E-02     6.553E-02          635   2.26660E-02
  31      3      3      0     1.54317E-02     4.636E-02          635   2.33730E-02
  41      3      3      0     2.03533E-02     6.109E-02          629   2.50780E-02
  51      3      3      0     2.46633E-02     7.404E-02          619   4.17420E-02
  61      3      3      0     1.59333E-02     4.783E-02          613   1.77220E-02
  71      3      3      0     1.70797E-02     5.124E-02          609   4.08160E-02
  81      2      2      0     1.93260E-02     3.869E-02          605   3.55840E-02
  91      2      2      0     2.31020E-02     4.625E-02          597   3.02970E-02
 101      3      3      0     1.38017E-02     4.144E-02          565   2.41970E-02
 111      3      3      0     1.51580E-02     4.554E-02          525   2.34700E-02
 121      3      3      0     2.38373E-02     7.161E-02          504   4.91930E-02
 131      3      3      0     1.30107E-02     3.910E-02          494   2.63190E-02
 141      3      3      0     1.24810E-02     3.748E-02          488   2.56280E-02
 151      2      2      0     1.08590E-02     2.175E-02          141   2.76920E-02
 161      2      2      0     1.04980E-02     2.104E-02          148   2.14100E-02
 171      2      2      0     1.20050E-02     2.407E-02          151   4.78470E-02
 181      2      2      0     1.02550E-02     2.055E-02          164   2.23540E-02
 191      2      2      0     1.09440E-02     2.192E-02          193   3.76560E-02
 201      2      2      0     1.21710E-02     2.439E-02          202   2.81110E-02
 211      3      3      0     1.39917E-02     4.203E-02          256   2.59740E-02
 221      3      3      0     1.17870E-02     3.538E-02          214   2.72710E-02
 231      3      3      0     1.45910E-02     4.384E-02          215   3.71490E-02
 241      2      2      0     1.17845E-02     2.361E-02          479   2.84610E-02
 251      2      2      0     1.15265E-02     2.309E-02          143   3.93910E-02
 261      2      2      0     1.28140E-02     2.568E-02          135   3.26150E-02
 271      2      2      0     2.06605E-02     4.138E-02          125   3.95540E-02
 281      2      2      0     1.19100E-02     2.388E-02          114   2.85210E-02
 291      2      2      0     1.13415E-02     2.276E-02          111   2.90740E-02
 301      2      2      0     1.37385E-02     2.755E-02          109   3.76390E-02
 311      2      2      0     1.49895E-02     3.001E-02          106   2.55670E-02
 321      2      2      0     1.48610E-02     2.976E-02          104   2.13650E-02
 331      2      2      0     1.62545E-02     3.255E-02           97   3.66980E-02
 341      2      2      0     1.09500E-02     2.194E-02           97   2.65950E-02
 351      2      2      0     1.53615E-02     3.078E-02           93   4.03160E-02
 361      2      2      0     1.41925E-02     2.845E-02           90   3.38920E-02
 371      2      2      0     1.01595E-02     2.037E-02           85   2.30670E-02
 381      2      2      0     2.12275E-02     4.256E-02           85   5.09870E-02
 391      2      2      0     1.07095E-02     2.146E-02           84   2.19410E-02
 401      2      2      0     1.25670E-02     2.519E-02           84   4.72230E-02
 411      2      2      0     1.32765E-02     2.661E-02           84   2.62390E-02
 421      2      2      0     1.05950E-02     2.124E-02           83   3.25040E-02
 431      2      2      0     1.44270E-02     2.892E-02           80   3.69740E-02
 441      2      2      0     1.45500E-02     2.917E-02           73   4.08370E-02
 451      2      2      0     1.24630E-02     2.494E-02           69   4.43200E-02
 461      2      2      0     1.33965E-02     2.685E-02           66   2.83290E-02
 471      2      2      0     1.03350E-02     2.072E-02           54   3.30480E-02
# sum(solver_time) =  1.641E+01 sum(physics_time) =  1.474E+01
# Next cycle =   1504, run time to this point:     1.63E+01
# M | iter | titer | nsubt | < NRNW t/s > | nucnet99 t/s | last nvar1 | physics t/s 
   1      3      3      0     1.65083E-02     4.956E-02          614   3.66300E-02
  11      3      3      0     1.60500E-02     4.819E-02          614   2.63600E-02
  21      3      3      0     2.42730E-02     7.289E-02          633   3.43440E-02
  31      3      3      0     1.97273E-02     5.921E-02          634   2.48020E-02
  41      3      3      0     2.34360E-02     7.035E-02          628   3.79620E-02
  51      3      3      0     1.55100E-02     4.656E-02          618   2.26710E-02
  61      3      3      0     1.55170E-02     4.663E-02          612   4.17580E-02
  71      3      3      0     1.53787E-02     4.619E-02          608   3.23210E-02
  81      2      2      0     2.23540E-02     4.474E-02          604   2.38560E-02
  91      2      2      0     1.63855E-02     3.282E-02          595   2.13760E-02
 101      3      3      0     1.06057E-02     3.185E-02          561   2.06820E-02
 111      3      3      0     1.37857E-02     4.138E-02          521   2.23870E-02
 121      3      3      0     1.79587E-02     5.396E-02          503   3.35720E-02
 131      3      3      0     1.54870E-02     4.652E-02          494   2.63610E-02
 141      3      3      0     1.11273E-02     3.341E-02          487   2.03630E-02
 151      2      2      0     1.05835E-02     2.121E-02          143   2.10970E-02
 161      2      2      0     1.52330E-02     3.051E-02          148   3.30360E-02
 171      2      2      0     1.19020E-02     2.387E-02          151   3.61500E-02
 181      2      2      0     1.00440E-02     2.012E-02          164   3.56770E-02
 191      2      2      0     1.11590E-02     2.236E-02          194   2.24110E-02
 201      2      2      0     2.15890E-02     4.326E-02          202   4.46530E-02
 211      3      3      0     1.32313E-02     3.974E-02          256   4.54120E-02
 221      3      3      0     1.20680E-02     3.625E-02          211   2.83170E-02
 231      3      3      0     1.82107E-02     5.466E-02          207   2.84610E-02
 241      2      2      0     1.23260E-02     2.470E-02          171   2.58250E-02
 251      2      2      0     1.45130E-02     2.908E-02          143   3.38050E-02
 261      2      2      0     1.18200E-02     2.368E-02          135   3.37800E-02
 271      2      2      0     1.42675E-02     2.860E-02          125   2.87920E-02
 281      2      2      0     1.18475E-02     2.373E-02          114   2.68290E-02
 291      2      2      0     1.04520E-02     2.096E-02          111   3.09440E-02
 301      2      2      0     1.89035E-02     3.789E-02          109   2.50680E-02
 311      2      2      0     1.18365E-02     2.373E-02          105   2.60980E-02
 321      2      2      0     1.05825E-02     2.121E-02          104   2.41240E-02
 331      2      2      0     1.34460E-02     2.694E-02           97   2.46240E-02
 341      2      2      0     1.78090E-02     3.570E-02           96   5.09360E-02
 351      2      2      0     1.35230E-02     2.709E-02           93   2.62080E-02
 361      2      2      0     9.90950E-03     1.987E-02           90   4.03800E-02
 371      2      2      0     1.18945E-02     2.383E-02           85   2.24950E-02
 381      2      2      0     1.24580E-02     2.495E-02           85   2.73910E-02
 391      2      2      0     1.04065E-02     2.085E-02           84   2.40340E-02
 401      2      2      0     1.30455E-02     2.613E-02           84   3.34060E-02
 411      2      2      0     1.17760E-02     2.357E-02           84   2.29660E-02
 421      2      2      0     1.04530E-02     2.094E-02           82   3.15100E-02
 431      2      2      0     1.42975E-02     2.865E-02           80   3.39860E-02
 441      2      2      0     1.87485E-02     3.755E-02           73   3.69780E-02
 451      2      2      0     1.19960E-02     2.404E-02           69   2.55310E-02
 461      2      2      0     1.38055E-02     2.767E-02           65   2.59990E-02
 471      2      2      0     7.66900E-03     1.536E-02           54   3.36170E-02
# sum(solver_time) =  1.652E+01 sum(physics_time) =  1.460E+01
# Next cycle =   1505, run time to this point:     1.86E+01
# M | iter | titer | nsubt | < NRNW t/s > | nucnet99 t/s | last nvar1 | physics t/s 
   1      3      3      0     1.82310E-02     5.474E-02          612   2.98510E-02
  11      3      3      0     1.61260E-02     4.845E-02          613   3.14730E-02
  21      3      3      0     1.99283E-02     5.980E-02          630   2.21930E-02
  31      3      3      0     2.09680E-02     6.295E-02          634   2.29750E-02
  41      3      3      0     1.98207E-02     5.953E-02          629   3.12710E-02
  51      3      3      0     1.54023E-02     4.623E-02          624   2.89510E-02
  61      3      3      0     1.35193E-02     4.059E-02          613   2.05400E-02
  71      3      3      0     2.38323E-02     7.154E-02          610   3.86400E-02
  81      3      3      0     2.45093E-02     7.359E-02          606   3.90680E-02
  91      2      2      0     1.58215E-02     3.167E-02          596   2.06850E-02
 101      3      3      0     1.37343E-02     4.124E-02          571   2.23420E-02
 111      3      3      0     1.47270E-02     4.421E-02          532   2.56600E-02
 121      3      3      0     1.35460E-02     4.068E-02          508   2.65740E-02
 131      3      3      0     1.31800E-02     3.958E-02          495   3.15560E-02
 141      3      3      0     1.58553E-02     4.760E-02          489   3.88580E-02
 151      2      2      0     9.85650E-03     1.976E-02          140   2.38580E-02
 161      2      2      0     1.32910E-02     2.664E-02          148   2.38180E-02
 171      2      2      0     1.01420E-02     2.033E-02          151   2.49820E-02
 181      2      2      0     1.48665E-02     2.980E-02          162   3.73350E-02
 191      2      2      0     1.18335E-02     2.371E-02          190   2.24930E-02
 201      2      2      0     9.73350E-03     1.949E-02          202   2.64650E-02
 211      3      3      0     1.39107E-02     4.179E-02          274   5.50350E-02
