   #  Z_k1  A_k1  Z_k3  A_k3        Z_k5  A_k5  Z_k7  A_k7    flux [dY/dt]    energy [erg/(g*s)]    timescale reac [s]
   64   12   24    2    4            1    1   13   27         1.00000E-99         1.00000E-99         1.00000E+90
   65   12   25    2    4            0    1   14   28         1.00000E-99         1.00000E-99         1.00000E+90
   66    8   16    0    0            1    1   15   31         1.00000E-99         1.00000E-99         1.00000E+90
   67    8   16    0    0            2    4   14   28         1.00000E-99         1.00000E-99         1.00000E+90
   68    8   16    0    0            0    1   16   31         1.00000E-99         1.00000E-99         1.00000E+90
   69    8   16    6   12            1    1   13   27         1.00000E-99         1.00000E-99         1.00000E+90
   70    8   16    6   12            2    4   12   24         1.00000E-99         1.00000E-99         1.00000E+90
   71    8   16    6   12            0    1   14   27         1.00000E-99         1.00000E-99         1.00000E+90
   72   10   20    0    0            2    4    8   16         1.00000E-99         1.00000E-99         1.00000E+90
   73    7   13    0    0            1    1    6   12         2.57972E-98         1.00000E-99         3.00213E+88
   74    9   17    0    0            1    1    8   16         1.79937E-71         1.00000E-99         3.94022E+57
   75    6   14    1    1            0    1    7   14         5.68448E-69         1.00000E-99         1.40210E+51
   76    7   14    0    1            1    1    6   14         1.67494E-25         1.01062E-07         1.00000E+90
   77    6   14    2    4            0    1    8   17         1.00000E-99         1.00000E-99         1.00000E+90
   78    8   17    0    1            2    4    6   14         3.45239E-30         6.05359E-12         1.00000E+90
   79    4    8    0    0            0    0    2    4         1.03455E-83         9.18332E-67         9.66606E-17
   80    6   12    0    0            0    0    2    4         1.00000E-99         1.00000E-99         1.00000E+90
   81   12   23    0    1            0    0    6   12         1.00000E-99         1.00000E-99         1.00000E+90
   82   11   23    1    1            0    0    6   12         1.00000E-99         1.00000E-99         1.00000E+90
   83   10   20    2    4            0    0    6   12         1.00000E-99         1.00000E-99         1.00000E+90
   84   13   27    1    1            8   16    6   12         1.00000E-99         1.00000E-99         1.00000E+90
   85   12   24    2    4            8   16    6   12         1.00000E-99         1.00000E-99         1.00000E+90
   86   14   27    0    1            8   16    6   12         1.00000E-99         1.00000E-99         1.00000E+90
   87   15   31    1    1            0    0    8   16         1.00000E-99         1.00000E-99         1.00000E+90
   88   14   28    2    4            0    0    8   16         1.00000E-99         1.00000E-99         1.00000E+90
   89   16   31    0    1            0    0    8   16         1.00000E-99         1.00000E-99         1.00000E+90
   90    6   11    0    0            0    0    5   11         1.00000E-99         1.00000E-99         1.00000E+90
   91    7   13    0    0            0    0    6   13         1.00000E-99         1.00000E-99         1.00000E+90
   92    6   14    0    0            0    0    7   14         1.00000E-99         1.00000E-99         1.00000E+90
   93    9   17    0    0            0    0    8   17         1.00000E-99         1.00000E-99         1.00000E+90
   94    9   18    0    0            0    0    8   18         1.00000E-99         1.00000E-99         1.00000E+90
   95   11   22    0    0            0    0   10   22         1.00000E-99         1.00000E-99         1.00000E+90
   96   12   23    0    0            0    0   11   23         1.00000E-99         1.00000E-99         1.00000E+90
   97   13   26    0    0            0    0   12   26         1.00000E-99         1.00000E-99         1.00000E+90
   98   14   27    0    0            0    0   13   27         1.00000E-99         1.00000E-99         1.00000E+90
   99   16   31    0    0            0    0   15   31         1.00000E-99         1.00000E-99         1.00000E+90
  100    8   14    0    0            0    0    7   14         1.00000E-99         1.00000E-99         1.00000E+90
  101    8   15    0    0            0    0    7   15         1.00000E-99         1.00000E-99         1.00000E+90
  102   11   21    0    0            0    0   10   21         1.00000E-99         1.00000E-99         1.00000E+90
  103   13   25    0    0            0    0   12   25         1.00000E-99         1.00000E-99         1.00000E+90
  104   15   29    0    0            0    0   14   29         1.00000E-99         1.00000E-99         1.00000E+90
  105   15   30    0    0            0    0   14   30         1.00000E-99         1.00000E-99         1.00000E+90
  106   83  211    0    0            2    4   82  207         1.00000E-99         3.83856E-83         1.85770E+02
  107   84  210    0    0            2    4   82  206         1.00000E-99         3.02640E-88         1.72414E+07
  108   84  210    0    1            0    0   82  207         1.00000E-99         1.00000E-99         1.00000E+90
  109    2    4    0    1            0    0    4    9         1.00000E-99         1.00000E-99         1.00000E+90
  110    4    9    0    0            0    1    2    4         1.00000E-99         1.00000E-99         1.00000E+90
  111    0    1    0    0            0    0    1    1         1.10774E-32         1.00000E-99         9.09918E+02
  112    1    1    0    1            0    0    1    2         1.36761E-24         2.93505E-06         1.00000E+90
  113    1    1    0    0            0    0    1    2         1.00000E-99         1.00000E-99         1.00000E+90
  114    1    1    0    0            0    0    0    1         2.40334E-76         1.00000E-99         8.00570E+73
  115    1    2    0    1            0    0    2    3         8.03233E-45         4.25784E-26         1.00000E+90
  116    1    2    0    0            0    1    1    1         1.00000E-99         1.00000E-99         1.00000E+90
  117    1    2    1    1            0    0    2    3         1.00000E-99         1.00000E-99         1.00000E+90
  118    2    3    0    1            0    0    2    4         5.47341E-38         1.08670E-18         1.00000E+90
  119    2    3    0    1            1    1    2    3         2.94771E-32         1.00000E-99         1.46079E+88
  120    2    3    1    1            0    0    2    4         4.90538E-32         9.73920E-13         8.70876E+17
  121    2    3    0    0            1    1    1    2         1.00000E-99         1.00000E-99         1.00000E+90
  122    2    3    0    0            0    0    2    3         9.93614E-27         1.00000E-99         4.29944E+12
  123    2    4    0    0            0    1    2    3         1.00000E-99         1.00000E-99         1.00000E+90
  124    2    4    0    0            1    1    2    3         1.00000E-99         1.00000E-99         1.00000E+90
  125    2    4    0    0            0    1    4    7         2.92145E-99         1.00000E-99         1.00000E+90
  126    2    4    0    0            1    1    3    7         2.92145E-99         1.00000E-99         1.00000E+90
  127    3    7    1    1            0    1    4    7         1.00000E-99         1.00000E-99         1.00000E+90
  128    3    7    1    1            0    0    2    4         1.00000E-99         1.00000E-99         1.00000E+90
  129    3    7    2    4            0    0    6   11         1.00000E-99         1.00000E-99         1.00000E+90
  130    4    7    0    1            1    1    3    7         3.64413E-32         5.78163E-14         3.03235E+87
  131    4    7    0    1            0    0    2    4         4.70743E-35         8.62582E-16         1.00000E+90
  132    4    7    2    4            0    0    6   11         1.00000E-99         1.00000E-99         1.00000E+90
  133    4    7    0    0            2    4    2    3         1.00000E-99         1.00000E-99         1.00000E+90
  134    4    7    0    0            0    0    3    7         1.00000E-99         1.00000E-99         1.00000E+90
  135    6   11    0    1            0    0    6   12         1.00000E-99         1.00000E-99         1.00000E+90
  136    6   11    0    1            1    1    6   11         1.00000E-99         1.00000E-99         5.00012E+88
  137    6   11    1    1            0    0    6   12         1.00000E-99         4.75729E-90         3.79698E+09
  138    6   11    0    0            2    4    4    7         1.00000E-99         1.00000E-99         1.00000E+90
  139    6   11    2    4            1    1    7   14         1.00000E-99         1.27688E-99         2.20874E+18
  140    6   12    0    1            0    0    6   13         8.12534E-30         3.87780E-11         1.00000E+90
  141    6   12    0    0            0    1    6   11         1.00000E-99         1.00000E-99         1.00000E+90
  142    6   12    0    1            1    1    6   12         1.00000E-99         1.00000E-99         1.00000E+90
  143    6   12    1    1            0    0    7   13         8.98381E-13         1.68418E+06         1.19375E+07
  144    6   12    0    0            1    1    6   11         1.00000E-99         1.00000E-99         1.00000E+90
  145    6   12    2    4            0    0    8   16         1.00000E-99         1.00000E-99         1.00000E+90
  146    6   12    2    4            0    1    8   15         1.00000E-99         1.00000E-99         1.00000E+90
  147    6   12    2    4            1    1    7   15         1.00000E-99         1.00000E-99         1.00000E+90
  148    6   13    0    1            0    0    6   14         1.18866E-30         9.37732E-12         1.00000E+90
  149    6   13    0    0            0    1    6   12         1.00000E-99         1.00000E-99         1.00000E+90
  150    6   13    1    1            0    0    7   14         8.98381E-13         6.54523E+06         3.02321E+06
